"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","언어","","","","우측상단 서브타이틀","","","","재생조건","설명","넘버링"
"NO","Key","VideoFileName","KR","EN","JP","CN","KR","EN","JP","CN","Condition","Description","NO"
"1","Default","Hue-A)M01-1=V1=W-16=03=Fin=down_live","저는 휴게소 마스코트 '휴(HUE)'에요 
화성휴게소에 방문하신걸 환영합니다. ","I'm HUE, the mascot of this rest area! 
Welcome to Hwaseong Rest Area.","私はサービスエリアのマスコット「ヒュー(HUE)」です。
華城(ファソン)サービスエリアへようこそ！","我是休息站的吉祥物‘休(HUE)’。
欢迎来到华城休息站。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_1 (휴소개-댄스)","","아이콘00=idel-1.1"
"2","Default","Hue-A)M02-1=V1=H-01=01=fin=down_live","최근 전 세계의 한복의 아름다움을 보고 체험을 하고 있죠 
우리 WITH에서도 다양한 디자인의 한복을 체험해보세요 ","The world admires the beauty of Hanbok.
Experience various designs here at WITH.","世界中が韓服の美しさに注目しています。
WITHで多彩なデザインを体験してください。","全世界都在领略韩服之美。
请在WITH体验各种款式的韩服。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_2(한복체험소개)","","아이콘00=idel-2.1"
"3","Default","Hue-A)M03-1=V1=W-05=02=fin=down_live","화성휴게소 안에는 다양한 먹거리와 상품들이 있어요 
쇼핑몰도 있고 편의점도 있으니 편하게 이용하세요 ","I'm HUE! Welcome to Hwaseong Rest Area. 
Enjoy our food, mall, and convenience store!","華城SAへようこそ！モールやコンビニ、美味しいグルメを完備しています。ごゆっくりどうぞ！","我是吉祥物HUE。欢迎光临华城服务区！
这里有购物中心、便利店和各类美食，请尽情享受。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_3(서치기능소개)","","아이콘00=idel-3"
"4","Default","Hue-A)M04-1=V1=H-13=01=fin=down_live","4개 언어(한국어, 영어, 일본어, 중국어) 지원! 
누구나 편리하게 이용할 수 있어요.","The kiosk supports 4 languages
Korean, English, Japanese, and Chinese.","このキオスクは4か国語に対応：
韓国語、英語、日本語、中国語。","谁都能方便使用哦。
4か国語（韓国語・英語・日本語・中国語）対応！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_4(다국어가능안내)","","0=idel-4"
"5","Default","Hue-A)M05-1=V1=P-04=01=Fin=down_live","서해안고속도로의 화성휴게소는 1996년에 처음 개장
수도권과 전라권을 잇는 중요한 휴식지로 운영되고 있습니다.","Since 1996, Hwaseong Rest Area 
connects Seoul and Jeolla.","1996年オープンの華城SA。西海岸高速道路にあり、
首都圏と全羅道を結ぶ重要な休憩スポットです。","西海岸高速华城服务区于1996年开业，
是连接首都圈与全罗道的重要枢纽。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_05

","","0=idel-5"
"6","Default","Hue-A)M06-1=V1=W-07=01=Fin=down_live","안녕하세요 'HUE에'요 여행의 설렘이 가득하시길! 
화성휴게소가 여러분의 안전하고 행복한 여정을 응원합니다.","Wishing you a safe and happy journey! 
Enjoy the ride.","素敵な旅になりますように！
安全で楽しいドライブを応援しています。","愿您的旅途充满快乐！
祝您一路平安，驾驶愉快。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_6(상점을 안내)","","0=idel-6"
"7","Default","Hue-A)M07-1=V1=W-06=01=Fin_down_live","다양한 상점과 편의점이 준비되어 있습니다. 
필요한 물건을 편하게 쇼핑하세요.","We have various shops and a convenience store. 
Get everything you need right here.","多彩なショップとコンビニを完備しています。 
必要なものを便利にお買い求めください。","我们设有各类商店与便利店。 
请您方便地选购所需商品。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_7(구매정보제공)","","0=idel-7"
"8","Default","Hue-A)M08-1=V1=W-02=03=Fin=down_live","다채롭고 맛있는 먹거리가 가득합니다. 
즐거운 미식 여행을 시작해 보세요.","A wide variety of tasty food awaits you. 
Enjoy a delicious meal right here.","バラエティ豊かなグルメが揃っています。 
美味しい食事を存分にお楽しみください。","我们准备了丰富多样的美味佳肴。 
请尽情享受这场美食之旅。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_8(맛집추천)","","0=idel-8"
"9","Default","Hue-A)M09-1=V1=W-08=01=Fin_down_live","전국의 유명 명소를 한눈에 찾아보세요. 
숨겨진 아름다운 여행지가 기다립니다.","Explore famous attractions across Korea.
Discover hidden gems for your trip.","全国の有名な観光スポットを探せます。
素敵な旅行先がきっと見つかります。","请探索全国各地的著名景点。
 精彩的旅行目的地正在等您。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_9(화성휵게소 )","","0=idel-9.1"
