"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Vietnamese","Thai","Команда управления > Монитор 2 > Содержание программы Unity Russian","Indonesian","Description","구분(위치)"
"29","Notice","공
지","I
N
F
O","お
知
ら
せ","敬  
请  
期  
待","C
H
Ú
 Ý","แ
จ้
ง","И
Н
Ф
О","I
N
F
O","","메인A"
"30","NoticeContent","인사동의 마스코트<b>'INSA'가
박술녀 한복을</b> 입고 나와요
여러분도 체험할 수 있도록 
할게요 <b>한복을 입어보세요~</b>","INSA will appear in a brand-new hanboks  by Park Sulnyeo!
Get ready to enjoy the hanbok experience with all-new designs.","INSAはパク・スルニョによる全く新しい韓服（ハンボク）で登場します！ 新しいデザインの韓服体験をお楽しみに！","INSA
将身着朴洙烈设计的全新韩服亮相！
敬请期待全新设计的韩服体验！","Linh vật Insadong 'INSA' mặc Hanbok Bak Sul-nyeo xuất hiện! Chúng tôi sẽ giúp các bạn cùng trải nghiệm. Hãy thử Hanbok nhé~","มาสคอตอินซาดง 'INSA' สวมฮันบกพัคซุลนยอมาแล้ว! เราจะทำให้ทุกคนได้สัมผัสประสบการณ์นี้ มาลองสวมชุดฮันบกกัน~","INSA появится в совершенно новых ханбоках от Пак Суль Нё!
Приготовьтесь насладиться примеркой ханбоков с совершенно новым дизайном.","Maskot Insadong 'INSA' tampil pakai Hanbok Bak Sul-nyeo! Kami siapkan agar kalian juga bisa mencobanya. Ayo coba Hanbok~","","메인C"
"134","Language_Select_Language","언어선택","Select Language","言語選択","选择语言","Chọn ngôn ngữ","เลือกภาษา","Выберите язык","Pilih Bahasa","","아이콘03"
"137","Language_Content","* 원하는 언어를 선택해 주세요.","* Service is available in 4 languages. Please select a language.","* 4ヶ国語に対応しています。言語を選択してください。","* 提供4种语言服务。请选择语言。","* Vui lòng chọn ngôn ngữ.","* มีให้บริการ 8 ภาษา โปรดเลือกภาษาที่ต้องการ","* Услуга доступна на 4 языках. Пожалуйста, выберите язык.","* Silakan pilih bahasa.","","아이콘03"
"135","Language_Now_Language","현재 언어","> Now Language","> Now Language","> Now Language","Ngôn ngữ hiện tại","ภาษาปัจจุบัน","> Текущий язык","Bahasa Saat Ini","","아이콘03"
"136","Language_Target_Language","변경 언어","> Change Language","> Change Language","> Change Language","Đổi ngôn ngữ","เปลี่ยนภาษา","> Изменить язык","Ubah Bahasa","","아이콘03"
"1","MainButton_AI"," '인사' 모하지(AI검색)","To do (AI)","旅行先 おすすめ(AI)","做什么比较好呢？(AI)"," 'INSA' làm gì? (Tìm AI)"," 'INSA' ทำอะไรดี? (ค้นหา AI)","Чем заняться (ИИ)"," 'INSA' ngapain ya? (Cari AI)","","아이콘04"
"16033","MainButton_Insarang","인사랑(준비중)","(Preparing)","(Preparing)","(Preparing)","Cùng INSA (Sắp)","กับ INSA (เร็วๆ นี้)","(В разработке)","Bareng INSA (Segera)","","아이콘05"
"5","MainButton_Event","인사동 이벤트","Events","おすすめイベント","推荐活动","Sự kiện Insadong","กิจกรรมอินซาดง","Мероприятия","Event Insadong","","아이콘06"
"2","MainButton_ToEat"," '인사' 뭐먹지?","To eat","飲食店のおすすめ","我们吃什么呢？"," 'INSA' ăn gì?"," 'INSA' กินอะไรดี?","Где поесть"," 'INSA' makan apa?","","아이콘07"
