"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 ICON-NO"
"1","Default","M1-A=6-C-V1-Fin-down","저는 오색시장의 마스코트 '정이'예요! 
오색시장 구석구석을 소개해 드릴게요","Hi, I’m Jeong-i! Let me guide you through every corner of Osaek Market.","こんにちは、ジョンイです！
五色市場の隅々までご案内します。","嗨，我是正伊！
让我带你逛遍五色市场的每个角落。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-01=정이소개-댄스","","0-1-1(S)"
"2","Default","M19-H2=2-V1-Fin-down","한복은 한국의 역사와 문화가 담긴 전통 의복입니다. 
고유의 아름다움을 직접 AR로 한복을 착장해보세요!","Hanbok is Korea’s traditional attire, loved for its beauty. Try it on with AR and feel the culture!","韓服（ハンボク）は韓国の伝統衣装。
美しいデザインをARで試着してみましょう！","韓服是蘊含韓國歷史與文化的傳統服飾，
獨特之美深受全球喜愛～現在用AR來體驗看看吧！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-02=한복체험소개","","0-1-2(W)"
"3","Default","M25-A=3-V1-Fin-down","시장 안에 숨은 맛집과 명소, 오색시장의 마스코트 
'정이'가 바로 바로 찾아드려요!","Hidden food spots and attractions 
Jeong-i will help you find them!","隠れた名店を探していますか？
おすすめのお店や食堂をご紹介します。","想找隐藏的好店吗？
我可以帮你发现最佳商铺和美食。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-03=서치기능소개","","0-2-1(H)"
"4","Default","M16-H3-A=2-C-V1-Fin-down","4개 언어(한국어, 영어, 일본어, 중국어) 지원! 
누구나 편리하게 이용할 수 있어요.","The kiosk supports 4 languages
Korean, English, Japanese, and Chinese.","このキオスクは4か国語に対応：
韓国語、英語、日本語、中国語。","谁都能方便使用哦。
4か国語（韓国語・英語・日本語・中国語）対応！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-04=다국어가능안내","","0-3-1(S)"
"5","Default","M26-B-(3)=8-V1-Fin-down","정조 시대부터 이어진 오색시장~
오래된 전통과 활기를 직접 체험해 보세요.","With history dating back to King Jeongjo’s era, Osaek Market is full of stories to explore.","正祖時代から続く五色市場には、
多くの物語が詰まっています。","五色市场自正祖时代以来延续至今，
充满了值得探索的故事。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-05=전통이 있는 시장","",""
"6","Default","M21-H1(1) 5-V2-Fin-down","쇼핑리스트 있으신가요? 
'정이'가 필요한 가게를 바로 안내해 드려요.","Got a shopping list? 
Let me show you the right stalls in no time.","買い物リストがありますか？
すぐにぴったりのお店を案内します。","有购物清单吗？
让我立刻带你找到合适的摊位。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면_6(상점을 안내)","",""
"7","Default","M26-B-(3)=8-V1-Fin-down","전통시장에서 특별한 선물 찾으세요? 
전통 간식부터 생활용품까지 다 있어요!","Want a unique gift? 
Find traditional snacks, local goods, and more!","特別な贈り物を探していますか？
伝統菓子や地元商品などが見つかります！","想要独特的礼物吗？
这里有传统小吃、本地商品等你挑选！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면_7(구매정보제공)","",""
"8","Default","M40-A=4-V1-Fin-down","시장에 오는 재미는 먹거리 탐방이죠.
맛집 추천은 '정이'에게 맡겨주세요","Market fun = food hunting. 
Let Jeong-i guide you!
","市場の魅力は食べ物！
一番人気の屋台料理を教えます。","来市场的乐趣就在于美食探索。
美食推荐就交给“正伊”吧。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면_8(맛집추천)","",""
"9","Default","M23-A-(1)=7-V1-Fin-down","정이'가 주변 가볼만한 관광지도 알려드려요. 
시장 나들이 후에 갈만한 곳이 많답니다!","Want to explore more? I can show you nearby attractions after your market visit.","もっと楽しみたいですか？
市場の後に行ける周辺観光地もご案内します。","想探索更多吗？
我可以带你看看市场周边的景点。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면_9(오색시장)","",""
"10","Default","M34-B-(1)=2 1 V2 Iris2-Fin-down","오색시장은 전통과 현대가 어우러진 공간이에요. 
'정이'가 길잡이가 되어 드릴게요","Osaek Market blends tradition and modern life—let Jeong-i be your guide!","五色市場は伝統と現代が融合する場所。
ジョンイがご案内します！","五彩市场是传统与现代交融的空间。
“正伊”将成为您的向导。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면_10(오색시장)","",""
"11","Search","M14-A-(1)=3-C-V1-Fin-down","오색시장은 숨은 보물들로 가득해요.
아래에 가게 이름을 적어주시면, 제가 빠르게 찾아드릴게요","Osaek Market is full of hidden gems.
Type a store name, and I’ll help you find it!","オセク市場には素敵な場所がいっぱい。
下のキーボードでお店を検索できます。","五彩市场充满了隐藏的宝藏。
在下面写上店名，我会帮你快速找到！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 서치선택","",""
"12","Search_Enter","M14-A-(3)=2-C-V1-Fin-down","매장을 클릭하시면 더욱더 상세한 정보를 얻을 수 있어요
매장의 사진, 정보, 오픈시간을 확인해보세요","Click a store to get more details.
Check out the store’s photos, info, opening hours.","店舗をクリックすると、
さらに詳しい情報をご覧いただけます。
","点击商店即可获取更详细的信息。
查看商店的照片、信息和营业时间吧。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 서치선택 -> 검색후 엔터 ","",""
"13","Search_Detail","M14-A-(4)=3-V1-Fin-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to 
receive detailed directions
","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ。
","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 서치선택 -> 검색후 엔터 -> 상세검색","",""
