"G)WIT=데이터(AI카테고리)=#5_휴게소(화성) / 모하지 = 30개 (카테고리 및 해쉬태그) NO","선택 카테고리 (한국어)","영어","일어","중국어 ","베트남어","인도네시아어","태국어","러시아어","","참고용 정이 뭐먹지 ","뭐사지(음식)","뭐사지(물품)","정이 도와줘 "
"1","1-카페 및 베이커리","1-Café & Bakery","1-カフェ・ベーカリー","1-咖啡店与烘焙店","1-Quán cà phê & Tiệm bánh","1-Kafe & Toko Roti","1-คาเฟ่และเบเกอรี่","1-Кафе и пекарня","","1-카페 및 베이커리","1-야채/과일 ","1-가구","1-온누리상품권"
"2","2-동남아","2-Southeast Asian Cuisine","2-東南アジア料理","2-东南亚美食","2-Ẩm thực Đông Nam Á","2-Masakan Asia Tenggara","2-อาหารเอเชียตะวันออกเฉียงใต้","2-Кухня Юго-Восточной Азии","","2-동남아","2-채소/농산","2-뷰티/미용","2-편의점/마트"
"3","3-차이나","3-Chinese Cuisine","3-中華料理","3-中餐","3-Ẩm thực Trung Hoa","3-Masakan Cina","3-อาหารจีน","3-Китайская кухня","","3-차이나","3-인삼/약재","3-건강","3-은행"
"4","4-중식","4-Chinese Food (General)","4-中華フード","4-中式餐饮","4-Món Trung Quốc","4-Makanan Cina","4-อาหารจีน (ทั่วไป)","4-Китайская еда","","4-중식","4-찌개류/국류","4-의류","4-수유방"
"5","5-한식","5-Korean Cuisine","5-韓国料理","5-韩餐","5-Ẩm thực Hàn Quốc","5-Masakan Korea","5-อาหารเกาหลี","5-Корейская кухня","","5-한식","5-족발/만두","5-신발","5-ATM기"
"6","6-분식","6-Korean Street Food","6-韓国屋台料理","6-韩式小吃","6-Ăn vặt Hàn Quốc","6-Jajanan Korea","6-สตรีทฟู้ดเกาหลี","6-Корейская уличная еда","","6-분식","6-치킨/강정","6-패션잡화","6-카트대여"
"7","1-야채/과일 ","1-Vegetables/Fruits","1-果物/野菜","1-水果/蔬菜","1-Rau củ/Trái cây","1-Sayuran/Buah","1-ผัก/ผลไม้","1-Овощи/Фрукты","","","7-떡/두부","7-생활용품","7-흡연실"
"8","2-채소/농산","2-Vegetables/Agricultural","2-野菜/農産物","2-蔬菜/农产","2-Rau củ/Nông sản","2-Sayuran/Hasil Pertanian","2-ผัก/สินค้าเกษตร","2-Овощи/Сельхозпродукция","","","8-기름/방앗간","8-문구","8-화장실"
"9","3-인삼/약재","3-Ginseng/Herbs","3-高麗人参/薬材","3-人参/药材","3-Nhân sâm/Dược liệu","3-Ginseng/Obat Herbal","3-โสม/สมุนไพร","3-Женьшень/Травы","","","9-축산/정육","9-인테리어/수리","9-주차장"
"10","4-찌개류/국류","4-Stews/Soups","4-チゲ/スープ","4-炖菜/汤","4-Món hầm/Súp","4-Rebusan/Sup","4-สตูว์/ซุป","4-Рагу/Супы","","","10-수산/건어물","",""
"11","5-족발/만두","5-Pig’s Trotters/Dumplings","5-豚足/餃子","5-猪蹄/饺子","5-Chân giò/Bánh bao","5-Kaki Babi/Pangsit","5-ขาหมู/เกี๊ยว","5-Свиные ножки/Пельмени","","","","",""
"12","6-치킨/강정","6-Chicken/Fried Chicken","6-チキン/カンジョン","6-炸鸡/酥鸡","6-Gà/Gà rán","6-Ayam/Ayam Goreng","6-ไก่/ไก่ทอด","6-Курица/Жареная курица","","","","",""
"13","7-떡/두부","7-Rice Cakes/Tofu","7-餅/豆腐","7-年糕/豆腐","7-Bánh gạo/Đậu phụ","7-Kue Beras/Tahu","7-เค้กข้าว/เต้าหู้","7-Рисовые пирожки/Тофу","","","","",""
"14","8-기름/방앗간","8-Oil/Mill","8-油/搾油","8-油/榨油","8-Dầu/Xưởng ép dầu","8-Minyak/Penggilingan","8-น้ำมัน/โรงสี","8-Масло/Мельница","","","","",""
"15","9-축산/정육","9-Livestock/Butchery","9-畜産/精肉","9-畜产/肉铺","9-Chăn nuôi/Cửa hàng thịt","9-Peternakan/Toko Daging","9-ปศุสัตว์/ร้านขายเนื้อ","9-Животноводство/Мясная лавка","","","","",""
"16","10-수산/건어물","10-Seafood","10-水産/乾物","10-水产/干货","10-Hải sản/Đồ khô","10-Makanan Laut/Makanan Kering","10-อาหารทะเล/อาหารแห้ง","10-Морепродукты/Сушеные продукты","","","","",""
"17","1-가구","1-Furniture","1-家具","1-家具","1-Nội thất","1-Furnitur","1-เฟอร์นิเจอร์","1-Мебель","","","","",""
"18","2-뷰티/미용","2-Beauty","2-美容","2-美容","2-Làm đẹp","2-Kecantikan","2-ความงาม","2-Красота","","","","",""
"19","3-건강","3-Health","3-健康","3-健康","3-Sức khỏe","3-Kesehatan","3-สุขภาพ","3-Здоровье","","","","",""
"20","4-의류","4-Clothing","4-衣類","4-服装","4-Quần áo","4-Pakaian","4-เสื้อผ้า","4-Одежда","","","","",""
"21","5-신발","5-Shoes","5-靴","5-鞋","5-Giày dép","5-Sepatu","5-รองเท้า","5-Обувь","","","","",""
