"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Nhóm vận hành > Màn hình 2 > Nội dung chương trình Unity Vietnamese","Indonesian","Thai","Russian","비고","기타"
"30","Notice","공
지","I
N
F
O","お
知
ら
せ","敬  
请  
期  
待","thông báo","pemberitahuan","การแจ้งเตือน","уведомление","",""
"31","NoticeContent","'WITH' (WIT AI Tourism Hardware) 가 설치 되었습니다. 한복은 물론 다양한 의상을 체험해보세요 ","Meet 'WITH'(WIT AI Tourism Hardware)! Experience Master Park Sul-nyeo’s Hanbok.","「WITH」(WIT AI Tourism Hardware)で体験する、朴術女(パク・スルニョ)の韓服。","“五色市场”已安装“WITH”（WIT AI旅游硬件）。欢迎使用！","Hệ thống 'WITH' (WIT AI Tourism Hardware) đã được cài đặt. Mời quý khách thử các trang phục khác nhau, bao gồm cả Hanbok.","'WITH' (WIT AI Tourism Hardware) telah terpasang. Silakan coba berbagai kostum, termasuk Hanbok.","ระบบ 'WITH' (WIT AI Tourism Hardware) ได้ถูกติดตั้งเรียบร้อยแล้ว โปรดลองสวมชุดต่างๆ รวมถึงชุดฮันบก","Установлена ​​система 'WITH' (WIT AI Tourism Hardware). Пожалуйста, примерьте различные костюмы, включая ханбок.","",""
"142","Language_Select_Language","* 언어선택","* Select Language","* Select Language","* Select Language","* Lựa chọn ngôn ngữ","* Pemilihan Bahasa","* การเลือกภาษา","* Выбор языка","",""
"145","Language_Content","* 4개국어 서비스를 제공합니다. 언어를 선택해주세요","* Choose Language","* Choose Language","* Choose Language","Chúng tôi cung cấp dịch vụ bằng 4 ngôn ngữ. Vui lòng chọn ngôn ngữ.","Kami menawarkan layanan dalam 4 bahasa. Silakan pilih bahasa.","เราให้บริการใน 4 ภาษา โปรดเลือกภาษา","Мы предоставляем услуги на 4 языках. Пожалуйста, выберите язык.","",""
"143","Language_Now_Language","현재 언어","Now Language","Now Language","Now Language","Ngôn ngữ hiện tại","Bahasa saat ini","ภาษาปัจจุบัน","Текущий язык","",""
"144","Language_Target_Language","변경 언어","Change Language","Change Language","Change Language","Thay đổi ngôn ngữ","Ubah bahasa","เปลี่ยนภาษา","Изменить язык","",""
"1704","MainButton_TrafficInfo","도로 교통상황","Traffic Info","Traffic Info","Traffic Info","Điều kiện giao thông đường bộ","Kondisi lalu lintas jalan","สภาพการจราจรบนถนน","Условия дорожного движения","",""
"3","MainButton_Goods","(준비중)","Witteria","Witteria","Witteria","(chuẩn bị)","(mempersiapkan)","(เตรียมการ)","(подготовка)","",""
"5","MainButton_Event","화성시 이벤트","Events","イベント","推荐活动","Sự kiện thành phố Hwaseong","Acara Kota Hwaseong","กิจกรรมเมืองฮวาซอง","Мероприятие в городе Хвасон","",""
"2","MainButton_ToEat","'휴' 뭐먹지","To eat","飲食店の","我们吃什么呢？","Ôi trời, mình nên ăn gì đây?","Wah, aku harus makan apa?","เฮ้อ ฉันควรจะกินอะไรดีเนี่ย?","Фух, что же мне съесть?","",""
"3","MainButton_ToBuy","'휴' 뭐사지","To buy","お買い物","我们买什么呢？","Ôi trời, mình nên mua gì đây?","Wah, apa yang harus saya beli?","เฮ้อ ฉันควรซื้ออะไรดีเนี่ย?","Уф, что же мне купить?","",""
"1705","MainButton_TraditionalMarket","전국시장","TraditionalMarket","TraditionalMarket","TraditionalMarket","Thị trường quốc gia","Pasar Nasional","ตลาดแห่งชาติ","Национальный рынок","",""
"9","MainButton_TaxFree","텍스프리등록","TaxFree","TaxFree","TaxFree","TaxFree","TaxFree","TaxFree","TaxFree","",""
"6","MainButton_Here","화성휴게소","HwaseongSA","HwaseongSA","HwaseongSA","Khu nghỉ dưỡng Hwaseong","Area Istirahat Hwaseong","จุดพักรถฮวาซอง","Зона отдыха Хвасон","",""
"7","MainButton_Greeting","안녕 '휴'","Hello 'HUE'","Hello 'HUE'","你好 'HUEi'","Chào 'Phew'","Halo 'Fiuh'","สวัสดี 'เฮ้อ'","Привет, «Фух»","",""
"8","MainButton_ToHelp","도와줘 '휴'","Map","ヘルプ","请帮忙","Cứu tôi với, 'Phù'","Tolong aku, 'Fiuh'","ช่วยด้วย 'เฮ้อ'","Помогите мне, «Фух»","",""
"1705","MainButton_SAMap","화성휴게소 지도","","Map","Map","Bản đồ khu vực nghỉ ngơi Hwaseong","Peta Area Istirahat Hwaseong","แผนที่จุดพักรถฮวาซอง","Карта зоны отдыха Хвасон","",""
"10","MainButton_Exchange","환율","Exchange","為替レート情報","汇率信息","tỷ giá hối đoái","kurs","อัตราแลกเปลี่ยน","обменный курс","",""
"1700","MainButton_ServiceArea","전국휴게소","Service Area","Service Area","Service Area","Khu vực nghỉ ngơi quốc gia","Area peristirahatan nasional","จุดพักรถแห่งชาติ","Национальные зоны отдыха","",""
"1702","MainButton_Property","문화재(준비중)","Korea Property","Korea Property","Korea Property","Di sản văn hóa (Đang trong quá trình chuẩn bị)","Warisan Budaya (Dalam tahap persiapan)","มรดกทางวัฒนธรรม (อยู่ระหว่างการจัดทำ)","Культурное наследие (в процессе подготовки)","",""
"1701","MainButton_KCulture","K-컬쳐(준비중)","K-Culture(Preparing)","K-Culture(Preparing)","K-Culture(Preparing)","Văn hóa K-pop (Sắp ra mắt)","K-Culture (Segera Hadir)","วัฒนธรรมเกาหลี (เร็วๆ นี้)","K-Culture (Скоро)","",""
"4","MainButton_MarketPaper","지역화폐","Local Currency","ちいきの おかね","地区货币","tiền tệ địa phương","mata uang lokal","สกุลเงินท้องถิ่น","местная валюта","",""
"14","MainButton_SmartTour","스마트관광(준비중)","Smart Tourism (Preparing)","スマート観光（準備中）","智慧旅游（准备中）","Du lịch thông minh (Đang trong quá trình phát triển)","Pariwisata Cerdas (Dalam pengembangan)","การท่องเที่ยวอัจฉริยะ (อยู่ระหว่างการพัฒนา)","«Умный туризм» (в стадии разработки)","",""
"","MainButton_WC","화장실","Toilet","トイレ","廁所","Nhà vệ sinh","Toilet","ห้องน้ำ","Туалет","",""
"","MainButton_Donation","기부","Donation","寄付","捐款","Quyên góp","Donasi","บริจาค","Пожертвование","",""
"15","MainButton_Hanbok","한복설명","Hanbok","韓服","韩服","Giải thích về Hanbok","Penjelasan Hanbok","คำอธิบายเกี่ยวกับชุดฮันบก","пояснение к ханбоку","",""
"50","Here_IsOsaek","여기는 화성휴게소 (목포방향)","Welcome to Hwaseong Service Area (Mokpo-bound)","ここは華城(ファソン)サービスエリア (木浦方面)です","这里是华城休息站（木浦方向）","Đây là khu nghỉ dưỡng Hwaseong (hướng Mokpo).","Ini adalah Area Istirahat Hwaseong (arah Mokpo)","นี่คือจุดพักรถฮวาซอง (ฝั่งมุ่งหน้าไปมกโพ)","Это зона отдыха Хвасон (в направлении Мокпо).","",""
"51","Here_History","주요 특징 및 테마 ","Key Features & Themes","主な特徴とテーマ","主要特色与主题","Các tính năng và chủ đề chính","Fitur dan Tema Utama","คุณสมบัติหลักและธีม","Основные особенности и темы","",""
