"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 NO"
"1","Default","M=hanbok01=5.1-02=2-V4-fin","‘인사’의 취미는 K-POP 아이돌의 댄스를 추는거에요 
제가 요즘 배우는 댄스인데 잠깐 보여드릴게요.
","This is a dance I'm currently learning. 
let me show you a bit!""
","K-POPアイドルのダンスはとっても楽しいです〜
これからもたくさん練習して、いろんなダンスをお見せしますね。
","K-POP偶像的舞蹈真的非常有趣～
以后我会多多练习，给大家展示更多不同的舞蹈","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면_1 (인사댄스)","",""
"2","Default","M=Hanbok02=11-05=3-V11-Fin-D","안녕하세요 'INSA(인사)' 언니 동생 '인정' 이에여 
제가 입은 한복 이쁘죠?  '박술녀' 선생님 한복이에요^^ ","Hello, I’m Injeong, the younger sister of “INSA.”
It’s made by Korea’s top hanbok designer, Park Sulnyeo.","こんにちは、「INSA（インサ）」お姉さんの妹、インジョンです。
韓国一の韓服デザイナー、パク・スルニョ先生の作品なんですよ。","你好，我是“INSA”姐姐的妹妹“仁静”。
我穿的韩服好看吧？是“朴瑟女”老师设计的哦！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_2(인사소개)","",""
"3","Default","M=hanbok01=7.2-02=1-V4-fin","INSA(인사)'에요~ 인사동에 오신 모든 관광객 여러분 사랑합니다.  
한국어, 영어, 일본어, 중국어를 선택해서 편하게 이용하세요 ","Kiosk supports 4 languages: Korean, English, Japanese, and Chinese.","このキオスクは韓国語・英語・日本語・中国語の4言語に対応しています。お好きな言語を選んでお楽しみください！"," 探索附近的宫殿、画廊和市场吧！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면_3(다국어가능안내)","",""
"4","Default","M=Hanbok02=12.1-05=5-V11-Fin-D","인사동의 전통과 현대 감성을 함께 즐겨보세요. 
'인사'와 함께 'WIT AI 스마트 관광 키오스크'가 도와드릴게요!","Insadong has both modern vibes and rich tradition—experience both through this kiosk!","まずは手首と腕をほぐしましょう。次に、肩を時計回りに回してください、こんな感じです！","仁寺洞结合传统与现代，来这里体验精彩吧！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_4 (스트레칭-1)","",""
"5","Default","M=Hanbok05=6-1C-11=2-V5-Fin-D","관심사에 따라 맞춤 코스를 '인사'가 추천해드려요. 
저와 함께 'AI기능'을 통해서 지금 확인해보세요!","Want to explore more? Get personalized course suggestions based on your interests","興味に合わせておすすめコースをご紹介！今すぐチェック！","根据兴趣推荐专属路线，快来看看吧！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_5 (스트레칭-2)","",""
"6","Default","M=Hanbok03=15.2C-08=1-V11-Fin-D","인사동 근처 궁궐, 미술 갤러리, 다양한 상점을 찾아보세요! 
인사동은 산책하기에도 좋은 장소예요. 출발해볼까요?","Discover nearby palaces, galleries, and markets worth exploring!","近くの宮殿や市場、ギャラリーを探索してみて！","逛得開心嗎？跟我一起來個2分鐘伸展操，
放鬆一下再繼續探險吧！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_6(스트레칭-3)","",""
"7","Default","M=Hanbok05=14-2C-11=1-V5-Fin-D","전통 식당부터 숨은 맛집까지, 골목골목 인사동을 찾아보세요!
인사동에는 한국 고유의 전통문화가 살아 숨쉬고 있답니다. ","Explore traditional restaurants, cafés, and hidden gems around every corner"," 伝統グルメから隠れた名店まで、インサドンを探索してね！"," 探索仁寺洞的传统餐厅与隐藏美食，精彩不断！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_7 (스트레칭-4)","",""
"8","Default","M=Hanbok02=12.1-05=5-V11-Fin-D","검색을 원하는 매장, 음식점, 명소, 미술관등을 바로 검색해보세요. 
검색바를 누르면 키보드가 나와요. 자 시작해볼까요?","Search for stores, restaurants, attractions, instantly.
Tap the search bar to open the keyboard. Ready to start?","お店や観光地を検索できます。
検索バーをタップしてください。 始めましょう！","您可以立即搜索商店、餐厅、景点或美术馆。
点击搜索栏，键盘就会弹出。 准备开始了吗？","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_8 (키오스크추천-이벤트)","",""
"9","Default","M=hanbok01=7.1-02=1-V4-fin","전통 기념품과 특별한 상점들을 소개해드릴게요! 
지금 'WIT AI 스마트 키오스크'를 통해서 확인하세요

","Want a souvenir? Find traditional gifts and special shops just for you","お土産を探してる？伝統雑貨や特別なお店を見つけよう！"," 想带点纪念品？探索传统礼品和特色小店！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면_9 (텍스프리 이용권장)","",""
"10","Default","M=Hanbok03=15.2C-08=1-V11-Fin-D","인사동은 곳곳에 예쁜 장소가 정말 많아요. 검색해보세요. 
'인사' 동생 '인정'이가  빠르게 찾아드릴게요.","Insadong has many lovely spots!
Injeong will find them for you right away.

","仁寺洞には綺麗な場所がたくさん！
インジョンがすぐに探します。
","仁寺洞有很多好看的地方！
仁静马上帮你找！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면_10 (쇼핑하라는 내용)","",""
