"운영팀> 2번 모니터> 앱 콘텐츠 내용 NO ","Key ","Korean ","English ","Japanese ","Chinese ","Vietnamese ","Indonesian ","Thai ","Russian ","Description ","","","","",""
"1","MainButton_AI","'정이' 모하지(AI검색)","To do (Ai)","旅行先 おすすめ(Ai)","做什么比较好呢？(Ai)","Để làm (Ai)","Untuk melakukan (Ai)","สิ่งที่ต้องทำ (AI)","Сделать (Ai)","","","","","",""
"5","MainButton_Event","오산시 이벤트","Events","イベント","推荐活动","Sự kiện","Acara","กิจกรรม","События","","","","","",""
"1603","MainButton_Goods","위드 마켓 (준비중)","WITH Market(Preparing)","WITH Market(Preparing)","WITH Market(Preparing)","VỚI Thị trường (Đang chuẩn bị)","DENGAN Pasar (Persiapan)","ร่วมกับตลาด (กำลังเตรียมการ)","С рынком (в процессе подготовки)","","","","","",""
"2","MainButton_ToEat","'정이' 뭐먹지?","To eat","飲食店の","我们吃什么呢？","Để ăn","Untuk makan","กิน","есть","","","","","",""
"3","MainButton_ToBuy","'정이' 뭐사지?(식품)","To buy","お買い物","我们买什么呢？","Để mua","Untuk membeli","เพื่อซื้อ","Купить","","","","","",""
"3","MainButton_ToBuy2","'정이' 뭐사지?(물품)","To buy","お買い物 ","我们买什么呢？","Để mua","Untuk membeli","เพื่อซื้อ","Купить","","","","","",""
"9","MainButton_Mission","텍스프리등록","TaxFree","TaxFree","TaxFree","Miễn thuế","Bebas Pajak","ปลอดภาษี","TaxFree","","","","","",""
"6","MainButton_Here","여기는 오색시장","Osaek Market","オセク市場","这里是Osaek","Chợ Osaek","Pasar Osaek","ตลาดโอแซก","Рынок Осаек","","","","","",""
"7","MainButton_Greeting","안녕 '정이'","Hello Jeong-i","Jeong-i","你好 'Jeong-i'","Chào Jeong-i","Halo Jeong-i","สวัสดีจองอี","Привет, Чон-и!","","","","","",""
"8","MainButton_ToHelp","도와줘 '정이'","Help","ヘルプ","请帮忙","Giúp đỡ","Membantu","ช่วย","Помощь","","","","","",""
"1605","MainButton_Map","오색시장 지도","OsaekMarket Map","オセク市場地図","OsaekMarket地图","Bản đồ chợ Osaek","Peta Pasar Osaka","แผนที่ตลาดโอแซก","Карта рынка Осаек","","","","","",""
"10","MainButton_Exchange","환율","Exchange","為替レート情報","汇率信息","Trao đổi","Menukarkan","แลกเปลี่ยน","Обмен","","","","","",""
"11","MainButton_Transport","교통안내","Transportation","交通案内","交通指南","Vận tải","Angkutan","การขนส่ง","Транспорт","","","","","",""
"1604","MainButton_KCulture","K Culture(준비중)","K Culture(Preparing)","K Culture(Preparing)","K Culture(Preparing)","K Culture (Đang chuẩn bị)","Kultur K (Persiapan)","K Culture (การเตรียม)","K-культура (подготовка)","","","","","",""
"4","MainButton_MarketPaper","시장화폐","Market Currency","市場通貨","市场货币","Tiền tệ thị trường","Mata Uang Pasar","สกุลเงินตลาด","Рыночная валюта","","","","","",""
"14","MainButton_SmartTour","스마트관광(준비중)","Smart Tourism (Preparing)","スマート観光（準備中）","智慧旅游（准备中）","Du lịch thông minh (Đang chuẩn bị)","Pariwisata Cerdas (Persiapan)","การท่องเที่ยวอัจฉริยะ (กำลังเตรียมการ)","«Умный туризм» (подготовка)","","","","","",""
"","MainButton_Donation","기부","Donation","寄付","捐款","Quyên góp","Donasi","บริจาค","Пожертвование","","","","","",""
"16","MainButton_WC","화장실","Toilet","トイレ","廁所","Nhà vệ sinh","Toilet","ห้องน้ำ","Туалет","","","","","",""
"12","MainButton_TraditionalMarket","전국시장(준비중)","Korea Market (Preparing)","伝統市場（準備中）","传统市场（准备中）","Thị trường Hàn Quốc (Đang chuẩn bị)","Pasar Korea (Persiapan)","ตลาดเกาหลี (กำลังเตรียมการ)","Корейский рынок (в процессе подготовки)","","","","","",""
"13","MainButton_Palace","(준비중)","(Preparing)","(準備中）","(准备中）","(Chuẩn bị)","(Persiapan)","(กำลังเตรียมการ)","(Подготовка)","","","","","",""
"15","MainButton_Hanbok","한복설명","Hanbok","韓服","韩服","Hanbok","Hanbok","ฮันบก","Ханбок","","","","","",""
"1700","MainButton_ServiceArea","휴게소(준비중)","Service Area (Preparing)","Service Area (Preparing)","Service Area (Preparing)","Khu vực phục vụ (Chuẩn bị)","Area Layanan (Persiapan)","พื้นที่ให้บริการ (การเตรียมการ)","Зона обслуживания (подготовка)","","","","","",""
"30","Notice","공
지","I
N
F
O","お
知
ら
せ","敬  
请  
期  
待","THÔNG TIN","I
IN
O","ข้อมูล
ข้อมูล
ข้อมูล","Я
Н
Ф
О","","","","","",""
"31","NoticeContent","'WITH' (WIT AI Tourism Hardware) 가 설치 되었습니다. 많은 이용부탁드려요 ","‘WITH’ (WIT AI Tourism Hardware) is now at Osaek Market. Please use it!","「WITH」（WIT AI Tourism Hardware）が設置されました。ぜひご利用ください。","“五色市场”已安装“WITH”（WIT AI旅游硬件）。欢迎使用！","Sản phẩm ‘WITH’ (WIT AI Tourism Hardware) hiện đã có mặt tại chợ Osaek. Mời bạn sử dụng!","‘WITH’ (WIT AI Tourism Hardware) kini tersedia di Pasar Osaek. Silakan gunakan!","‘WITH’ (WIT AI Tourism Hardware) พร้อมให้บริการแล้วที่ตลาดโอแซก โปรดใช้บริการด้วย!","Компания ‘WITH’ (WIT AI Tourism Hardware) теперь представлена ​​на рынке Осаек. Пожалуйста, воспользуйтесь ею!","","","","","",""
"26","Event_Today","오늘의 행사","Today's Events","今日のイベント","今日的活动","Sự kiện hôm nay","Peristiwa Hari Ini","เหตุการณ์วันนี้","События сегодняшнего дня","","","","","",""
"27","Event_Week","이번주 행사","This Week's Events","今週のイベント","本周活动","Các sự kiện trong tuần này","Peristiwa Minggu Ini","กิจกรรมประจำสัปดาห์นี้","События этой недели","","","","","",""
"28","Event_Upcomming","예정 행사","Upcomming Events","予定イベント","即将举行的活动","Các sự kiện sắp tới","Acara Mendatang","กิจกรรมที่จะเกิดขึ้น","Предстоящие события","","","","","",""
"29","Event_Past","지난 행사","Past Events","過去のイベント","往期活动","Các sự kiện đã qua","Peristiwa Masa Lalu","เหตุการณ์ที่ผ่านมา","Прошедшие события","","","","","",""
"152","SubHeader_AISearch","* 방문하고자하는 3개의 카테고리를 선택해주세요 ","* Select 3 categories you want to visit.","* 訪れたいカテゴリを3つ選んでください","* 请选择您想参观的3个类别","* Chọn 3 danh mục bạn muốn truy cập.","* Pilih 3 kategori yang ingin Anda kunjungi.","* เลือก 3 หมวดหมู่ที่คุณต้องการเข้าชม","* Выберите 3 категории, которые вы хотите посетить.","","","","","",""
"32","VisitorCount","방문 인원","Number of visitors","訪問者数","访客人数","Số lượng khách tham quan","Jumlah pengunjung","จำนวนผู้เข้าชม","Количество посетителей","","","","","",""
"39","Visitor_1","1명","1 person","1人","1人","1 người","1 orang","1 คน","1 человек","","","","","",""
"40","Visitor_2","2명","2 people","2人","2人","2 người","2 orang","2 คน","2 человека","","","","","",""
"41","Visitor_3","3명","3 people","3人","3人","3 người","3 orang","3 คน","3 человека","","","","","",""
"42","Visitor_4","4명","4 people","4人","4人","4 người","4 orang","4 คน","4 человека","","","","","",""
"43","Visitor_5","5명","5 people","5人","5人","5 người","5 orang","5 คน","5 человек","","","","","",""
"44","Visitor_6","6명","6 people","6人","6人","6 người","6 orang","6 คน","6 человек","","","","","",""
"33","StayTime","체류 시간","How long are you planning to be here","どのくらい滞在する予定ですか？","您计划在这里停留多久？","Bạn dự định ở lại đây bao lâu?","Berapa lama Anda berencana berada di sini?","คุณวางแผนจะอยู่ที่นี่นานแค่ไหน","Как долго вы планируете здесь находиться?","","","","","",""
"34","JoyContent","즐길 거리 (3개를 선택해주세요!)","Select 3 activities to enjoy","楽しむために3つのアクティビティを選択してください","选择3个活动来享受","Hãy chọn 3 hoạt động để tận hưởng.","Pilih 3 aktivitas untuk dinikmati","เลือกกิจกรรม 3 อย่างที่คุณชื่นชอบ","Выберите 3 занятия, которые вам понравятся.","","","","","",""
"35","ShowDetailList","코스를 클릭하시면 상세 리스트가 나와요","Click the course for details","コースをクリックして詳細を確認してください。","点击课程查看详情。","Nhấp vào khóa học để xem chi tiết.","Klik kursus untuk detail selengkapnya","คลิกที่หลักสูตรเพื่อดูรายละเอียด","Нажмите на ссылку курса для получения подробной информации.","","","","","",""
"36","ACourse","A코스","Course A","Aコース","A路线","Khóa học A","Kursus A","หลักสูตร A","Курс А","","","","","",""
"37","BCourse","B코스","Course B","Bコース","B路线","Khóa học B","Kursus B","หลักสูตร B","Курс Б","","","","","",""
"38","CCourse","C코스","Course C","Cコース","C路线","Khóa học C","Kursus C","หลักสูตร C","Курс C","","","","","",""
"45","StayTime_02","0 ~ 1=시간","0 ~ 1 hours","0～1時間","0～1小时","0 ~ 1 giờ","0 ~ 1 jam","0 ~ 1 ชั่วโมง","0 ~ 1 час","","","","","",""
"46","StayTime_24","1 ~ 2시간","1 ~ 2 hours","1～2時間","1～2小时","1 ~ 2 giờ","1 ~ 2 jam","1-2 ชั่วโมง","1–2 часа","","","","","",""
"47","StayTime_46","2~ 3시간","2 ~ 3 hours","2～3時間","2～3小时","2 ~ 3 giờ","2 ~ 3 jam","2-3 ชั่วโมง","2–3 часа","","","","","",""
"48","StayTime_66","3시간~","3 hours ~","3時間～","3小时以上","3 giờ ~","3 jam ~","3 ชั่วโมง ~","3 часа ~","","","","","",""
"49","ShowDetailShop","업체 정보를 클릭하시면 상세 정보가 나와요","Click the store for details.","店舗をクリックして詳細を確認してください。","点击商店查看详情。","Nhấp vào cửa hàng để xem chi tiết.","Klik toko untuk detail selengkapnya.","คลิกที่ร้านค้าเพื่อดูรายละเอียดเพิ่มเติม","Нажмите на название магазина для получения подробной информации.","","","","","",""
"499","Text_FillSpace"," "," "," "," ","#VALUE!","","","","","","","","",""
"501","MonthOsaekPerson","이달의 오색인(준비중)","MonthOsaekPerson","MonthOsaekPerson","MonthOsaekPerson","ThángOsaekNgười","MonthOsaekPerson","เดือนโอแซกบุคคล","МесяцОсаекПерсон","","","","","",""
"50","Here_IsOsaek","여기는 오색시장 ","This is Osaek Market","ここはオセク市場です","这里是五色市场","Đây là chợ Osaek.","Ini adalah Pasar Osaek","นี่คือตลาดโอแซก","Это рынок Осаек.","","","","","",""
"51","Here_History","역사","History","歴史","历史","Lịch sử","Sejarah","ประวัติศาสตร์","История","","","","","",""
