"정이 모하지(AI검색)  카테고리= 30개 (카테고리 및 해쉬태그) NO","선택 카테고리 (한국어)","영어","일어","중국어 ","베트남어","인도네시아어","태국어","러시아어","참고용 정이 뭐먹지 ","뭐사지(음식)","뭐사지(물품)","정이 도와줘 "
"1","1-카페 및 베이커리","1-Café & Bakery","1-カフェ・ベーカリー","1-咖啡店与烘焙店","1-Cà phê/ Bánh ngọt","1-Kafe & Toko Roti","1-คาเฟ่และเบเกอรี่","1-Кафе и пекарня","1-카페 및 베이커리","1-야채/과일 ","1-가구","1-온누리상품권"
"2","5-한식","5-Korean Cuisine","5-韓国料理","5-韩餐","5-Món ăn Hàn Quốc","5-Makanan Korea","5-อาหารเกาหลี","5. Корейская кухня","2-동남아","2-채소/농산","2-뷰티/미용","2-편의점/마트"
"3","6-분식","6-Korean Street Food","6-韓国屋台料理","6-韩式小吃","6-Món ăn đường phố Hàn Quốc","6-Jajanan Pasar Korea","6-อาหารริมทางเกาหลี","6. Корейская уличная еда","3-차이나","3-인삼/약재","3-건강","3-은행"
"4","4-중식","4-Chinese Food (General)","4-中華フード","4-中式餐饮","4-Món ăn Trung Hoa","4-Masakan Cina-Korea","4. อาหารจีน (ทั่วไป)","4. Китайская кухня (общая)","4-중식","4-찌개류/국류","4-의류","4-수유방"
"5","3-차이나","3-Chinese Cuisine","3-中華料理","3-中餐","3-Món Trung Quốc","3-Masakan Cina","3. อาหารจีน","3. Китайская кухня","5-한식","5-족발/만두","5-신발","5-ATM기"
"6","2-동남아","2-Southeast Asian Cuisine","2-東南アジア料理","2-东南亚美食","2-Món ăn Đông Nam Á","2-Masakan Asia Tenggara","2. อาหารเอเชียตะวันออกเฉียงใต้","2. Юго-восточноазиатская кухня","6-분식","6-치킨/강정","6-패션잡화","6-카트대여"
"7","4-찌개류/국류","4-Stews/Soups","4-チゲ/スープ","4-炖菜/汤","4-Các món canh & súp","4-Aneka Sup/ Kuah","4. สตูว์/ซุป","4 вида рагу/супа","","7-떡/두부","7-생활용품","7-흡연실"
"8","5-족발/만두","5-Pig’s Trotters/Dumplings","5-豚足/餃子","5-猪蹄/饺子","5-Chân giò heo/ Sủi cảo","5-Kaki Babi/Pangsit","ขาหมู/เกี๊ยว 5 อย่าง","5. Свиные ножки/пельмени","","8-기름/방앗간","8-문구","8-화장실"
"9","6-치킨/강정","6-Chicken/Fried Chicken","6-チキン/カンジョン","6-炸鸡/酥鸡","6-Gà rán/ Gà sốt chua ngọt","6-Ayam/Ayam Goreng","6-ไก่/ไก่ทอด","6. Курица/Жареная курица","","9-축산/정육","9-인테리어/수리","9-주차장"
"10","1-야채/과일 ","1-Vegetables/Fruits","1-果物/野菜","1-水果/蔬菜","1-Rau củ/ Trái cây","1-Sayuran/Buah-buahan","1-ผัก/ผลไม้","1. Овощи/Фрукты","","10-수산/건어물","",""
