"운영팀> 2번 모니터> 앱 콘텐츠 내용","","","","","","","","","","","","","","","","","","","","","","","","",""
"Num","Key","Korean","English","Japanese","Chinese","Vietnamese","Thai","Russian","Indonesian","설명, 비고","구분(위치)","","","","","","","","","","","","","",""
"","NoticeContent -1","<b>1월 제주</b>는 새콤달콤한 <b>노지감귤과 한라봉</b>이 제철을 맞고 겨울 바다에서 잡은 <b>방어와 갈치</b>까지 풍성하게 즐기기 좋은 시기입니다.","January in Jeju is a great time to enjoy sweet tangerines, Hallabong, and fresh winter seafood like yellowtail and hairtail.","1月の済州は、甘酸っぱい露地みかんとハルラボンが旬を迎え、冬の海で獲れたブリやタチウオまで豊かに楽しめる時期です。","1月的济州岛，酸甜可口的露地柑橘和汉拿峰迎来旺季，还能品尝到冬季海里捕捞的肥美黄尾鱼和带鱼，是享受丰盛美食的好时节。","Tháng 1 ở Jeju là thời điểm tuyệt vời để thưởng thức quýt ngọt, Hallabong cùng cá cam và cá hố mùa đông.","เดือนมกราคมในเชจูเป็นช่วงเวลาที่ดีในการเพลิดเพลินกับส้มแมนดารินและฮัลลาบงที่กำลังออกผล รวมถึงปลาหางเหลืองและปลาหางดาบที่จับได้ในทะเลฤดูหนาว","Январь на Чеджу — отличное время для сладких мандаринов, халлабона, свежего желтохвоста и рыбы-сабли.","Januari di Jeju adalah waktu yang tepat untuk menikmati jeruk mandarin, Hallabong, serta hidangan laut musim dingin seperti yellowtail dan hairtail.","","메인C","","","","","","","","","","","","","",""
"","NoticeContent -2","<b>2월 제주</b>는 <b>한라봉과 천혜향</b>의 맛과 향이 깊어지고 겨울 바다에서 살이 오른 <b>방어와 해산물</b>을 맛보기 좋은 시기입니다.","February in Jeju is a great time to enjoy Hallabong, Cheonhyehyang, and fresh winter seafood like yellowtail.","2月の済州は、ハルラボンとチョンヘヒャンの味と香りが深まり、冬の海で脂がのったブリやシーフードを味わうのに良い時期です。","2月的济州岛，汉拿峰和天惠香的味道与香气更加浓郁，也是品尝冬季海里肥美黄尾鱼和海鲜的好时节。","Tháng 2 ở Jeju là thời điểm tuyệt vời để thưởng thức Hallabong, Cheonhyehyang và cá cam mùa đông.","เดือนกุมภาพันธ์ในเชจูเป็นช่วงเวลาที่ดีในการลิ้มรสชาติและกลิ่นหอมของฮัลลาบงและชอนฮเยฮยาง รวมถึงปลาหางเหลืองและอาหารทะเลสดๆ จากทะเลฤดูหนาว","Февраль на Чеджу — отличное время для ароматного халлабона, чхонхехяна, жирного желтохвоста и зимних морепродуктов.","Februari di Jeju sangat cocok untuk menikmati Hallabong, Cheonhyehyang, dan hidangan laut segar seperti yellowtail.","","","","","","","","","","","","","","","",""
"","NoticeContent -3","<b>3월 제주</b>는 <b>천혜향과 레드향</b> 같은 만감류가 무르익고 봄기운과 함께 싱싱한 <b>해산물</b>을 즐기기 좋은 시기입니다.","March in Jeju is a great time to enjoy Cheonhyehyang, Redhyang, and fresh seafood while welcoming spring.","3月の済州は、チョンヘヒャンやレッドヒャンなどの晩柑類が熟し、春の気配とともに新鮮なシーフードを楽しむのに良い時期です。","3月的济州岛，天惠香和红香等晚熟柑橘成熟，伴随着春天的气息，是享受新鲜海鲜的好时节。","Tháng 3 ở Jeju là thời điểm tuyệt vời để đón xuân cùng Cheonhyehyang, Redhyang và hải sản tươi sống.","เดือนมีนาคมในเชจูเป็นช่วงเวลาที่ดีในการเพลิดเพลินกับส้มที่สุกงอม เช่น ชอนฮเยฮยางและเรดฮยาง พร้อมกับอาหารทะเลสดๆ และบรรยากาศของฤดูใบไม้ผลิ","Март на Чеджу — отличное время насладиться чхонхехяном, редхяном и свежими весенними морепродуктами.","Maret di Jeju waktu yang tepat untuk menikmati Cheonhyehyang, Redhyang, dan aneka makanan laut segar menyambut musim semi.","","","","","","","","","","","","","","","",""
"","NoticeContent -4","<b>4월 제주</b>는 따뜻한 봄바람과 함께 향긋한 <b>봄나물</b>과 신선한 <b>해산물</b>로 제주의 봄을 맛보기 좋은 시기입니다.","April in Jeju is a great time to enjoy spring greens and fresh seafood.","4月の済州は、暖かい春風とともに香り高い春ナムルと新鮮なシーフードで済州の春を味わうのに良い時期です。","4月的济州岛，伴随着温暖的春风，是品尝芳香的春季野菜和新鲜海鲜，感受济州之春的好时节。","Tháng 4 ở Jeju là thời điểm tuyệt vời để thưởng thức rau rừng mùa xuân và hải sản tươi sống.","เดือนเมษายนในเชจูเป็นช่วงเวลาที่ดีในการลิ้มรสฤดูใบไม้ผลิของเชจูด้วยผักใบเขียวที่มีกลิ่นหอมและอาหารทะเลสดๆ พร้อมกับสายลมฤดูใบไม้ผลิที่อบอุ่น","Апрель на Чеджу — отличное время насладиться весенней зеленью и свежими морепродуктами.","April di Jeju adalah waktu yang tepat untuk menikmati sayuran musim semi dan makanan laut segar.","","","","","","","","","","","","","","","",""
"","NoticeContent -5","<b>5월 제주</b>는 향긋한 <b>햇고사리</b>와 싱싱한 <b>자리돔</b>이 제철을 맞아 제주의 <b>산과 바다</b>를 함께 즐기기 좋은 시기입니다.","May in Jeju is a great time to enjoy fresh bracken and damselfish.","5月の済州は、香り高い新ワラビと新鮮なスズメダイが旬を迎え、済州の山と海を一緒に楽しむのに良い時期です。","5月的济州岛，芳香的新鲜蕨菜和新鲜的雀鲷正值当季，是同时享受济州山海的好时节。","Tháng 5 ở Jeju là thời điểm tuyệt vời để thưởng thức dương xỉ tươi và cá thia biển.","เดือนพฤษภาคมในเชจูเป็นช่วงเวลาที่ดีในการเพลิดเพลินกับภูเขาและทะเลของเชจู เนื่องจากเฟิร์นใหม่ที่มีกลิ่นหอมและปลาสลิดหินสดกำลังอยู่ในฤดูกาล","Май на Чеджу — отличное время для свежего папоротника и рыбы-ласточки, наслаждаясь горами и морем.","Mei di Jeju sangat pas untuk menikmati pakis segar dan damselfish sambil menikmati keindahan alam Jeju.","","","","","","","","","","","","","","","",""
"","NoticeContent -6","<b>6월 제주</b>는 살이 통통하게 오른 <b>자리돔과 한치</b>가 제철을 맞고 신선한 제주 <b>해산물</b>을 맛보기 좋은 시기입니다.","June in Jeju is a great time to taste fresh Jeju seafood, with plump damselfish and squid in season.","6月の済州は、肉厚なスズメダイとヤリイカが旬を迎え、新鮮な済州のシーフードを味わうのに良い時期です。","6月的济州岛，肥美的雀鲷和鱿鱼正值当季，是品尝新鲜济州海鲜的好时节。","Tháng 6 ở Jeju là thời điểm tuyệt vời để thưởng thức cá thia biển, mực và hải sản tươi ngon.","เดือนมิถุนายนในเชจูเป็นช่วงเวลาที่ดีในการลิ้มรสอาหารทะเลสดๆ ของเชจู โดยมีปลาสลิดหินและปลาหมึกกำลังอยู่ในฤดูกาล","Июнь на Чеджу — сезон сочной рыбы-ласточки, кальмаров и свежих морепродуктов острова.","Juni di Jeju adalah waktu terbaik untuk menikmati makanan laut segar seperti damselfish dan cumi-cumi.","","","","","","","","","","","","","","","",""
"","NoticeContent -7","<b>7월 제주</b>는 쫄깃한 <b>한치</b>와 시원한 <b>자리물회</b>가 특히 맛있는 계절로 무더운 여름 제주에서 <b>바다</b>를 즐기기 좋은 시기입니다.","July in Jeju is a great time to enjoy chewy squid and refreshing damselfish soup.","7月の済州は、歯ごたえのあるヤリイカと冷たいスズメダイのムルフェが特に美味しい季節で、暑い夏の済州で海を楽しむのに良い時期です。","7月的济州岛是充满嚼劲的鱿鱼和清凉的雀鲷水拌生鱼片格外美味的季节，也是在炎热的夏天享受济州大海的好时节。","Tháng 7 ở Jeju là thời điểm tuyệt vời để thưởng thức mực tươi và súp lạnh cá thia biển.","เดือนกรกฎาคมในเชจูเป็นฤดูกาลที่ปลาหมึกหนึบหนับและซุปเย็นปลาสลิดหินอร่อยเป็นพิเศษ ทำให้เป็นช่วงเวลาที่ดีในการเพลิดเพลินกับทะเลในฤดูร้อนที่ร้อนอบอ้าวของเชจู","Июль на Чеджу — прекрасное время для кальмаров и освежающего холодного супа из рыбы-ласточки.","Juli di Jeju adalah waktu yang tepat untuk menikmati musim panas bersama cumi-cumi lezat dan sup dingin damselfish.","","","","","","","","","","","","","","","",""
"","NoticeContent -8","<b>8월 제주</b>는 <b>한치와 갈치</b> 등 여름 해산물이 풍성하고 달콤한 <b>감귤</b>까지 더해져 제주의 여름을 즐기기 좋은 시기입니다.","August in Jeju is a great time to enjoy summer seafood like squid and hairtail, along with sweet tangerines.","8月の済州は、ヤリイカやタチウオなどの夏のシーフードが豊富で、甘いみかんも加わり、済州の夏を楽しむのに良い時期です。","8月的济州岛，鱿鱼和带鱼等夏季海鲜丰富，加上甜美的柑橘，是享受济州夏日的好时节。","Tháng 8 ở Jeju là thời điểm tuyệt vời để thưởng thức hải sản mùa hè như mực, cá hố cùng quýt ngọt.","เดือนสิงหาคมในเชจูเป็นช่วงเวลาที่ดีในการเพลิดเพลินกับฤดูร้อนของเชจู ด้วยอาหารทะเลฤดูร้อนที่อุดมสมบูรณ์ เช่น ปลาหมึกและปลาหางดาบ รวมถึงส้มแมนดารินรสหวาน","Август на Чеджу — отличное время для летних морепродуктов (кальмары, рыба-сабля) и сладких мандаринов.","Agustus di Jeju adalah waktu yang tepat untuk menikmati hasil laut musim panas seperti cumi-cumi dan hairtail, serta jeruk manis.","","","","","","","","","","","","","","","",""
"","NoticeContent -9","<b>9월 제주</b>는 살이 통통하게 오른 <b>은갈치와 고등어</b>같은 가을 해산물과 상큼한 <b>황금향</b>이 맛과 향이 가장 뛰어난 제철입니다.","September in Jeju is a great time to enjoy silver hairtail, mackerel, and refreshing golden citrus.","9月の済州は、肉がふっくらと上がった銀ガルチやサバのような秋のシーフードとさわやかな黄金の香りが、味と香りが最も優れた旬です。","济州岛的九月是秋季海鲜的旺季，如银带鱼和鲭鱼，以及清爽的金黄色柑橘，此时它们的味道和香气都达到了最佳状态。","Tháng 9 ở Jeju là thời điểm tuyệt vời để thưởng thức cá hố, cá thu và quýt Hwanggeumhyang.","เดือนกันยายนในเกาะเชจูเป็นช่วงฤดูที่อาหารทะเลฤดูใบไม้ร่วง เช่น ปลาหางนกยูงและปลาแมคเคอเรล รวมถึงผลไม้ตระกูลส้มสีทองที่สดชื่น มีรสชาติและกลิ่นหอมที่สุด","Сентябрь на Чеджу — сезон серебристой рыбы-сабли, скумбрии и освежающего хвангымхяна.","September di Jeju adalah waktu terbaik untuk menikmati hairtail perak, makarel segar, dan jeruk emas.","","","","","","","","","","","","","","","",""
"","NoticeContent -10","<b>10월 제주</b>는 달콤하게 익어가는 <b>노지감귤</b>과 살이 차오른 <b>갈치</b>, 제철을 맞은 <b>방어</b> 등 제주를 대표하는 가을 특산물을 맛보기 좋은 시기입니다.","October in Jeju is a great time to enjoy sweet tangerines, hairtail, and yellowtail.","10月、済州は甘く熟す露地柑橘類と肉が冷えた渇き、季節を迎えた防御など、済州を代表する秋の特産物を味わう良い時期です。","十月是济州岛品尝济州岛代表性秋季特产的好时机，例如香甜成熟的田间柑橘、肥美的带鱼和时令黄尾鱼。","Tháng 10 ở Jeju là thời điểm tuyệt vời để thưởng thức quýt ngọt, cá hố và cá cam mùa thu.","เดือนตุลาคมในเชจูเป็นช่วงเวลาที่ดีเยี่ยมในการลิ้มลองอาหารขึ้นชื่อของเชจูในช่วงฤดูใบไม้ร่วง เช่น ส้มแมนดารินสุกหวานฉ่ำ ปลาหางยาวเนื้อแน่น และปลาหางเหลืองตามฤดูกาล","Октябрь на Чеджу — отличное время попробовать сладкие мандарины, рыбу-саблю и сезонного желтохвоста.","Oktober di Jeju sangat tepat untuk mencicipi makanan khas musim gugur seperti jeruk manis, hairtail, dan yellowtail.","","","","","","","","","","","","","","","",""
