"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","","","언어","","","","언어","","","","우측상단 서브타이틀","","","","우측상단 서브타이틀","","","","재생조건","설명","","",""
"ICON
-NO","Key (개발)","파일명 (개발)","파일명 (운영)","비디오 폴더명 (운영)","KR","EN","JP","CN","VN","ID","TH","RU","KR","EN","JP","CN","VN","ID","TH","RU","Condition","Description","","",""
"M4","Weather_Sunny","GYULI=Weather_Sunny","","","오늘 제주 날씨는 너무너무 화창하고 맑아요!
귤이도 기분이 좋은데, 여러분도 신나는 제주를 즐겨보세요~","Jeju is beautifully sunny and clear today!
I'm in a great mood — enjoy your day in Jeju!","今日の済州はとても晴れて気持ちいいです！
ギュリも気分がいいので、皆さんも済州を楽しんでください〜","今天济州天气晴朗，阳光明媚！
心情超好~大家也尽情享受济州吧！","Hôm nay Jeju nắng đẹp và trong xanh!
Tâm trạng thật tuyệt — chúc bạn tận hưởng Jeju nhé~","Hari ini cuaca Jeju sangat cerah!
Suasana hati pun senang — selamat menikmati Jeju!","วันนี้อากาศที่เชจูสดใสมาก!
อารมณ์ดีสุดๆ ขอให้ทุกคนเที่ยวเชจูให้สนุกนะคะ~","Сегодня на Чеджу солнечно и ясно!
Настроение отличное — наслаждайтесь Чеджу!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 날씨 위젯 터치 — 맑음일 때","[키: Weather_Sunny] 날씨 위젯 터치 시 현재 기상 상태에 맞는 1편만 재생. 맑음 전용. 의상 S-06.","","",""
"M4","Weather_Rain","GYULI=Weather_Rain","","","오늘은 제주에 비(눈)가 내린다고 해요
우산 꼭 챙기시고요, 비가 와도 운치 있는 제주를 즐겨보세요~","Rain (or snow) is expected in Jeju today.
Bring an umbrella — Jeju is lovely even in the rain!","今日の済州は雨（雪）が降るそうです。
傘を忘れずに。雨の済州も風情がありますよ〜","今天济州有雨（雪）。
记得带伞哦~雨中的济州也别有风味！","Hôm nay Jeju có mưa (tuyết) đấy.
Nhớ mang ô nhé — Jeju trong mưa cũng rất thơ mộng~","Hari ini di Jeju akan turun hujan (salju).
Bawa payung, ya — Jeju saat hujan pun tetap indah!","วันนี้ที่เชจูมีฝน (หิมะ) ตกค่ะ
อย่าลืมพกร่มนะคะ เชจูยามฝนก็มีเสน่ห์ไม่แพ้กัน~","Сегодня на Чеджу дождь (или снег).
Возьмите зонт — Чеджу прекрасен и в дождь!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 날씨 위젯 터치 — 비·눈일 때","[키: Weather_Rain] 비·눈 상태 전용. 의상 S-05. ※모션명이 3행과 같은 Weather-2로 기재돼 있으나 파일은 -2가 맞음(시트 표기만 정리 필요).","","",""
"M4","Weather_Cold","GYULI=Weather_Cold","","","오늘은 제주 날씨가 아주 춥다고 해요 (너무 추워요ㅜㅜ)
옷을 따뜻하게 입고 제주에서 따뜻한 차 한잔 어떨까요?","It's very cold in Jeju today (brrr!).
Dress warmly — how about a hot cup of tea?","今日の済州はとても寒いそうです（寒い〜！）
暖かい服装で、温かいお茶はいかがですか？","今天济州非常冷（好冷呀~）。
穿暖和点，来杯热茶怎么样？","Hôm nay Jeju rất lạnh đấy (brrr!).
Mặc ấm vào và thưởng thức một tách trà nóng nhé?","Hari ini Jeju sangat dingin (brrr!).
Pakai baju hangat dan nikmati secangkir teh panas, yuk!","วันนี้ที่เชจูหนาวมากค่ะ (หนาวจริงๆ!)
แต่งตัวอุ่นๆ แล้วจิบชาร้อนสักแก้วดีไหมคะ?","Сегодня на Чеджу очень холодно (брр!).
Оденьтесь теплее — и выпейте горячего чая!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 날씨 위젯 터치 — 추울 때","[키: Weather_Cold] 추움 상태 전용. 의상 S-04. ※모션명 Weather-2는 -3 오기.","","",""
"M5","FlightInfo-1","GYULI=FlightInfo-1","","","오늘의 항공편 출발 정보를 알려드릴게요
출발 시간과 탑승구를 미리 확인하세요~","Here's today's flight departure info.
Check your departure time and gate in advance!","本日の航空便の出発情報をご案内します。
出発時間と搭乗口を事前にご確認ください〜","为您播报今日航班出发信息。
请提前确认出发时间和登机口~","Đây là thông tin chuyến bay khởi hành hôm nay.
Hãy kiểm tra trước giờ bay và cửa lên máy bay nhé~","Ini info keberangkatan penerbangan hari ini.
Cek dulu jam berangkat dan gerbang naiknya, ya!","นี่คือข้อมูลเที่ยวบินขาออกของวันนี้ค่ะ
เช็กเวลาเดินทางและประตูขึ้นเครื่องล่วงหน้านะคะ~","Вот информация о вылетах на сегодня.
Заранее проверьте время вылета и выход!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 운항정보 보드 터치 (공항 지점)","[키: FlightInfo(신설)] 제주공항(W006) 전용. 보드 터치 시 1·2편 순환. ※현재 앱 운항보드는 항공만 구현 — 자막 키 신설 필요.","","",""
"M5","FlightInf-2","GYULI=FlightInf-2","","","탑승 시간이 가까워지면 귤이가 알려드릴게요
시간 여유를 두고 탑승구로 이동해 주세요!","I'll let you know when boarding time is near.
Please head to your gate with time to spare!","搭乗時間が近づいたらお知らせしますね。
余裕をもって搭乗口へお進みください！","登机时间快到时我会提醒您哦。
请留出充足时间前往登机口！","Gần đến giờ lên máy bay, Gyuli sẽ báo cho bạn.
Hãy ra cửa lên máy bay sớm một chút nhé!","Aku akan memberi tahu saat waktu naik pesawat tiba.
Menujulah ke gerbang lebih awal, ya!","ใกล้เวลาขึ้นเครื่องเมื่อไร กยูรีจะบอกนะคะ
เผื่อเวลาแล้วไปที่ประตูขึ้นเครื่องแต่เนิ่นๆ นะคะ!","Я подскажу, когда приблизится время посадки.
Подходите к выходу заранее!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 운항정보 보드 터치 (공항 지점)","[키: FlightInfo(신설)] 공항 전용 2편째. 동작: 손목시계를 확인하고 옆을 향해 손바닥으로 제시 — '시간 확인' 자막과 호응.","","",""
"M5","FerryInfo-1","GYULI=FerryInfo-1","","","오늘의 여객선 출항 정보를 알려드릴게요
제주 바다 위 뱃길, 출발 시간을 미리 확인하세요~","Here's today's ferry departure info.
Check your sailing time before you set off!","本日のフェリー出港情報をご案内します。
済州の海の旅、出発時間を事前にご確認ください〜","为您播报今日客轮出港信息。
济州海上航线，请提前确认出发时间~","Đây là thông tin phà khởi hành hôm nay.
Hãy kiểm tra trước giờ tàu chạy nhé~","Ini info keberangkatan feri hari ini.
Cek dulu jam berlayarnya sebelum berangkat, ya!","นี่คือข้อมูลเรือเฟอร์รี่ขาออกของวันนี้ค่ะ
เช็กเวลาเรือออกล่วงหน้าด้วยนะคะ~","Вот расписание паромов на сегодня.
Заранее проверьте время отправления!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 운항정보 보드 터치 (여객터미널·유산본부)","[키: FerryInfo(신설)] 여객터미널(W007)·유산본부(W008) 전용. 1·2편 순환. 동작: 손이 물결 위 배처럼 S자로 미끄러진 뒤 배웅 손인사. ※여객 보드·W007/W008은 코드 미구현 — 개발 필요.","","",""
"M5","FerryInfo-2","GYULI=FerryInfo-2","","","출발 시간표에서 내 배편을 확인해 보세요
출발 전에 한 번 더 확인하면 안심이에요!","Find your ferry on the departure board.
Double-check before departure for peace of mind!","出発時刻表でご自身の便をご確認ください。
出発前にもう一度確認すると安心です！","请在时刻表上查看您的船班。
出发前再确认一次更安心！","Hãy tìm chuyến phà của bạn trên bảng giờ tàu.
Kiểm tra lại trước khi đi cho yên tâm nhé!","Cari jadwal kapalmu di papan keberangkatan.
Periksa lagi sebelum berangkat biar tenang!","ดูรอบเรือของคุณได้ที่ตารางเวลาค่ะ
เช็กอีกครั้งก่อนออกเดินทางเพื่อความอุ่นใจนะคะ!","Найдите свой рейс в расписании.
Перед отправлением проверьте ещё раз!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","홈 상단 운항정보 보드 터치 (여객터미널·유산본부)","[키: FerryInfo(신설)] 여객터미널·유산본부 전용 2편째. 동작: 옆의 시간표를 손가락으로 짚어 내려가며 읽음 — '시간표 확인' 자막과 호응.","","",""
"01","Default-1","GYULI=Default-1","","","귤이'의 취미는 K-POP 댄스를 추는 거예요
제가 요즘 배우는 댄스인데 잠깐 보여드릴게요.","My hobby is K-pop dancing!
Here's a little of what I've been learning lately.","ギュリの趣味はK-POPダンスです。
最近習っているダンスを少しお見せしますね。","Gyuli的爱好是跳K-POP舞蹈。
给大家看看我最近在学的舞~","Sở thích của Gyuli là nhảy K-pop.
Để mình biểu diễn điệu nhảy đang học gần đây nhé!","Hobi Gyuli adalah menari K-pop.
Ini tarian yang sedang kupelajari, lihat sebentar ya!","งานอดิเรกของกยูรีคือเต้น K-POP ค่ะ
ขอโชว์ท่าเต้นที่กำลังฝึกอยู่สักหน่อยนะคะ","Моё хобби — танцевать K-pop!
Покажу немного из того, что сейчас разучиваю.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_1 (K-POP 댄스)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 의상 S-01. 귤이의 K-POP 댄스 — 대기 1번.","","",""
"01","Default-2","GYULI=Default-2","","","안녕하세요, 제주 마스코트 '귤이'에요
제가 입은 한복 예쁘죠? AR로 직접 입어볼 수 있어요^^","Hi! I'm Gyuli, Jeju's mascot.
Isn't my hanbok pretty? Try one on with AR!","こんにちは、済州のマスコット「ギュリ」です。
韓服かわいいでしょ？ARで試着もできますよ^^","大家好，我是济州吉祥物Gyuli。
我穿的韩服漂亮吧？用AR就能亲自试穿哦^^","Xin chào, mình là Gyuli — linh vật của Jeju.
Hanbok mình mặc đẹp chứ? Mặc thử bằng AR nhé!","Halo, aku Gyuli, maskot Jeju.
Hanbok-ku cantik, kan? Coba pakai lewat AR, yuk!","สวัสดีค่ะ กยูรี มาสคอตของเชจูค่ะ
ฮันบกที่ใส่สวยไหมคะ? ลองสวมผ่าน AR ได้เลยนะคะ^^","Привет! Я Gyuli, талисман Чеджу.
Красивый ханбок? Примерьте его в AR!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_2 (한복 소개)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 의상 H-11(한복). AR 한복 체험 유도 — 대기 2번.","","",""
