"데이터=전국시장 넘버 Num 1)서울시","사진여부  ","시장이름 MarketName ","MarketNameEN ","MarketNameJp ","MarketNameCn ","BaseCategory 지역1 Province_kr ","Province_en ","Province_jp ","Province_cn ","SecondCategory District_kr ","District_en ","District_jp ","District_cn ","Address 주소 Address_kr ","Address_en ","Address_jp ","Address_cn ","HasfTag 해시태그 HashTag_kr ","HashTag_en ","HashTag_jp ","HashTag_cn ","Description 설명 Description_kr ","Description_en ","Description_jp ","Description_cn ","OpenTime 운영시간 OpenTime ","OpenTime_En ","OpenTime_Jp ","OpenTime_Ch ","전화번호 Tel ","네이버링크 NaverLink "
"1","","광장시장","Gwangjang Market","広蔵市場","广藏市场","서울","Seoul","東京都","首尔特别市","종로구","Jongno-gu","チョンノ区","钟路区","서울시 종로구 창경궁로 88","88, Changgyeonggung-ro, Jongno-gu, Seoul","東京都 鍾路区 昌慶宮路 88","首尔特别市 钟路区 昌庆宫路 88","#먹거리, #빈대떡, #육회, #한복, #구제시장","#Food, #Bindae-tteok, #Yukhoe, #Hanbok, #Vintage","#グルメ, #ピンデトッ, #ユッケ, #韓服, #古着","#美食, #绿豆饼, #生牛肉, #韩服, #二手市场","100년 전통의 상설시장으로 먹거리 골목과 포목, 한복, 구제 의류가 유명합니다.","A century-old market famous for its food alley, Hanbok, and vintage clothing.","100年の伝統を持つ常設市場で、グルメ通りや韓服、古着市場が有名です。","拥有百年历史的常设市场，以美食街、韩服和二手服装闻名。","09:00–18:00 (먹자골목 23:00까지)","09:00–18:00 (Food alley until 23:00)","09:00–18:00 (屋台은 23:00까지)","09:00–18:00 (美食街至23:00)","02-2267-0291","https://naver.me/G7V4Bx4O"
"2","","동대문종합시장","Dongdaemun Shopping Complex","東大門総合市場","东大门综合市场","서울","Seoul","東京都","首尔特别市","종로구","Jongno-gu","チョンノ区","钟路区","서울시 종로구 종로 266","266, Jongno, Jongno-gu, Seoul","東京都 鍾路区 鍾路 266","首尔特别市 钟路区 钟路 266","#원단, #의류부자재, #액세서리, #침구, #DIY","#Fabric, #Accessories, #Bedding, #DIY, #Fashion","#生地, #衣類副資材, #アクセサリー, #寝具, #DIY","#面料, #辅料, #饰品, #庆具, #DIY","세계적인 규모의 원단 및 의류 부자재 전문 상가로 디자이너들의 필수 코스입니다.","A world-class specialized market for fabrics and clothing materials.","世界最大級の生地・衣類副資材専門市場で、デザイナー御用達の場所です。","世界级规模的面料及服装辅料专业商场，是设计师们的必经之地。","08:00–18:00 (일요일 휴무)","08:00–18:00 (Closed on Sundays)","08:00–18:00 (日曜休)","08:00–18:00 (周日休息)","02-2262-0114","https://naver.me/xUw1rx2F"
"3","","통인시장","Tongin Market","通仁市場","通仁市场","서울","Seoul","東京都","首尔特别市","종로구","Jongno-gu","チョンノ区","钟路区","서울시 종로구 자하문로15길 18","18, Jahamun-ro 15-gil, Jongno-gu, Seoul","東京都 鍾路区 紫霞門路15キル 18","首尔特别市 钟路区 紫霞门路15路 18","#엽전도시락, #기름떡볶이, #서촌핫플, #전통시장체험","#YeopjeonBox, #OilTteokbokki, #Seochon, #Experience","#銭弁当, #油トッポギ, #西村ホットプレ, #伝統市場","#铜钱便当, #油炒年糕, #西村打卡地, #传统市场体验","엽전을 사용해 음식을 골라 담는 '도시락 카페'와 고소한 기름 떡볶이로 유명한 서촌의 명소입니다.","Famous for its 'Yeopjeon Cafe' where you buy food with brass coins and oil tteokbokki.","銭を使っておかずを選ぶ「お弁当カフェ」や香ばしい油トッポギで有名な西村の名所です。","以使用铜钱购买食物的“便当咖啡厅”和香酥的油炒年糕而闻名的西村名胜。","07:00–21:00 (도시락카페 11:00–16:00, 월요일 휴무)","07:00–21:00 (Cafe 11:00-16:00, Mon Closed)","07:00–21:00 (カフェ11:00-16:00, 月曜休)","07:00–21:00 (便当店 11:00-16:00, 周一休息)","02-722-0913","https://naver.me/xs3GxpjH"
"4","","가락시장","Garak Market","可楽市場","可乐市场","서울","Seoul","東京都","首尔特别市","송파구","Songpa-gu","ソン파区","松坡区","서울시 송파구 양재대로 932","932, Yangjae-daero, Songpa-gu, Seoul","東京都 松坡区 良才大路 932","首尔特别市 송파구 양재大道 932","#농수산물, #도매시장, #경매, #식자재, #신선식품","#Agricultural, #Wholesale, #Auction, #Grocery","#農水産物, #卸売市場, #競売, #食材, #新鮮食品","#农水产品, #批发市场, #拍卖, #食材, #新鲜食品","국내 최대 규모의 농수산물 도매시장으로 전국 식자재 유통의 중심지입니다.","Korea's largest wholesale market for agricultural and marine products.","韓国最大規模の農水産物卸売市場で、全国の食材流通の中心地です。","韩国最大规模的农水产品批发市场，是全国食材流通的中心。","00:00–24:00 (매장별 상이)","Open 24 hours (Varies by store)","24時間営業 (店舗により異なる)","24小时营业 (各店不同)","02-3435-1000","https://naver.me/xGIPswgm"
"5","","노량진수산시장","Noryangjin Fisheries Market","鷺梁津水産市場","鹭梁津水产市场","서울","Seoul","東京都","首尔特别市","동작구","Dongjak-gu","ドンジャク区","铜雀区","서울시 동작구 노들로 674","674, Nodeul-ro, Dongjak-gu, Seoul","東京都 銅雀区 ノドゥル路 674","首尔特别市 铜雀区 露得路 674","#수산물, #회, #제철해산물, #경매, #서울여행","#Seafood, #Sashimi, #Seasonal, #Auction, #Travel","#水産物, #刺身, #旬の海鮮, #競売, #ソウル旅行","#水产, #生鱼片, #时令海鲜, #拍卖, #首尔旅游","서울 최대의 수산물 전문 도매시장으로 신선한 회를 즉석에서 먹을 수 있습니다.","Seoul's largest seafood wholesale market where you can enjoy fresh sashimi.","ソウル最大の水産物専門卸売市場で、新鮮な刺身をその場で楽しめます。","首尔最大的水产专业批发市场，可以现场品尝新鲜的生鱼片。","00:00–24:00 (연중무휴)","Open 24 hours (Year-round)","24時間営業 (年中無休)","24小时营业 (全年无休)","02-2254-8000","https://naver.me/xBwJGXAK"
"6","","남대문시장","Namdaemun Market","南大門市場","南大门市场","서울","Seoul","東京都","首尔特别市","중구","Jung-gu","中区","中区","서울시 중구 남대문시장4길 21","21, Namdaemunsijang 4-gil, Jung-gu, Seoul","東京都 中区 南大門市場4キル 21","首尔特别市 中区 南大门市场4路 21","#의류, #액세서리, #전통시장, #야시장, #잡화","#Clothing, #Accessories, #Traditional, #Nightmarket","#衣類, #アクセサリー, #伝統市場, #夜市, #雑貨","#服装, #饰品, #传统市场, #夜市, #百货","한국 최대 규모의 전통시장으로 의류부터 일상 잡화까지 모든 것을 취급합니다.","Korea's largest traditional market handling everything from clothes to sundries.","韓国最大規模の伝統市場で、衣類から日用雑貨まであらゆる物を扱います。","韩国最大规模的传统市场，经营从服装到日常百货的所有商品。","00:00–23:00 (점포별 상이)","00:00–23:00 (Varies by shop)","00:00–23:00 (店舗により異なる)","00:00–23:00 (各店不同)","02-753-2805","https://naver.me/xFLuqbn8"
"7","","망원시장","Mangwon Market","望遠市場","望远市场","서울","Seoul","東京都","首尔特别市","마포구","Mapo-gu","麻浦区","麻浦区","서울시 마포구 포은로8길 14","14, Poeun-ro 8-gil, Mapo-gu, Seoul","東京都 麻浦区 圃隠路8キル 14","首尔特别市 麻浦区 圃隐路8路 14","#망리단길, #먹거리천국, #닭강정, #고추튀김, #MZ핫플","#Mangridan, #StreetFood, #Mangwon, #Trend","#マンリダン通り, #グルメ天国, #若者の街, #人気","#望理团路, #美食天堂, #辣子鸡, #青椒炸物, #MZ打卡地","젊은 층이 즐겨 찾는 '망리단길'과 연결되어 있으며, 가성비 좋은 다양한 먹거리가 가득합니다.","Connected to 'Mangridan-gil', popular among youth for its diverse and affordable street food.","若者に人気の「マンリダン通り」に隣接し、コスパ抜群の多様なグルメが溢れています。","与年轻人喜爱的“望理团路”相连，充满了各类性价比极高的美食。","08:00–22:00 (연중무휴)","08:00–22:00 (Open year-round)","08:00–22:00 (年中無休)","08:00–22:00 (全年无休)","02-335-3591",""
"8","","경동시장","Gyeongdong Market","京東市場","京东市场","서울","Seoul","東京都","首尔特别市","동대문구","Dongdaemun-gu","東大門区","东大门区","서울시 동대문구 고산자로36길 3","3, Gosanja-ro 36-gil, Dongdaemun-gu, Seoul","東京都 東大門区 古山子路36キル 3","首尔特别市 东大门区 古山子路36路 3","#약재시장, #제기동, #인삼, #스타벅스경동1960, #전통시장","#HerbalMedicine, #Ginseng, #Gyeongdong1960, #Tradition","#韓薬材市場, #高麗人参, #レトロ, #スタバ1960","#药材市场, #人参, #星巴克京东1960, #传统市场","한국 최대의 약재 시장으로 최근 폐극장을 개조한 스타벅스 등 레트로한 명소로 급부상했습니다.","Korea's largest herbal medicine market, recently trendy for the 'Starbucks 1960' in an old theater.","韓国最大の薬材市場で、最近は古い劇場を改造したスタバなどレトロな名所として人気です。","韩国最大的药材市场，近期因由旧剧院改造的星巴克等复古景点而迅速走红。","08:30–18:00 (점포별 상이, 야시장 운영)","08:30–18:00 (Varies by shop)","08:30–18:00 (店舗により異なる)","08:30–18:00 (各店不同)","02-967-4145",""
"9","","영등포유통상가","Yeongdeungpo Distribution Arcade","永登浦流通商街","永登浦流通商街","서울","Seoul","東京都","首尔特别市","영등포구","Yeongdeungpo-gu","永登浦区","永登浦区","서울시 영등포구 당산로 2","2, Dangsan-ro, Yeong등포-gu, Seoul","東京都 永登浦区 堂山路 2","首尔特别市 永登浦区 堂山路 2","#산업기계, #공구, #하드웨어, #B2B거래, #전기부품","#IndustrialTools, #Hardware, #B2B, #Yeongdeungpo","#産業機械, #工具, #ハードウェア, #企業間取引","#工业机械, #工具, #五金, #企业采购, #电子配件","기계, 공구, 전기 부품 등 산업용 자재가 집적된 대규모 유통 상가로 전문 B2B 거래가 중심입니다.","A large distribution complex for industrial materials like tools and electric parts for B2B.","機械、工具、電気部品などの産業用資材が集積した大型商街で、B2B取引が中心です。","聚集了机械、工具、电子配件等工业资材的大型流通商街，以专业企业采购为主。","09:00–18:30 (토요일 15:00까지, 일요일 휴무)","09:00–18:30 (Sat until 15:00, Sun Closed)","09:00–18:30 (土曜15:00まで, 日曜休)","09:00–18:30 (周六至15:00, 周日休息)","02-2633-0001",""
"1","","시화유통상가","Sihwa Distribution Arcade","シファ流通商店街","Sihwa 流通商街","경기도","Gyeonggi-do","京畿道","京畿道","시흥시","Siheung City","シフン市","始兴市","경기도 시흥시 공단1대로 244","Gyeonggi-do, Siheung-si, Gongdan 1-daero 244","京畿道 始興市 コンダン1大路 244","京畿道 始兴市 공단1大道 244","#산업자재, #공업용품, #B2B거래, #도·소매, #현장픽업, #대형차량","#industrial_materials, #industrial_goods, #B2B_trade, #wholesale_&_retail, #on-site_pickup, #truck_access","#産業資材, #工業用品, #企業間取引, #卸・小売, #現地受け取り, #大型車アクセス","#工业资材, #工业用品, #企业采购, #批发零售, #现场自取, #大车通行","시흥 시화공단 내 대형 산업자재·공업용품 집적 상가로 동(棟) 단위로 상가가 촘촘히 구성되어 있습니다. 도·소매 B2B 거래 비중이 높고 현장 픽업과 대형 차량 접근이 용이합니다. 점포별 운영시간이 달라 이른 오전부터 오후에 영업하는 곳이 많습니다. 상가 안내/공지와 이용 후기가 이를 뒷받침합니다.","A large industrial-goods arcade inside the Siwha complex, bringing together wholesale and retail vendors in multiple blocks. It caters mainly to B2B buyers, with same-day pickup and truck access. Hours differ widely by store, but most operate from early morning through late afternoon. It’s practical for sourcing bulk items and components.","始興・始華工団エリアにある大型の産業資材アーケードで、複数棟に専門店が集積。B2B 需要が中心で、当日受け取りや大型車での搬入出がしやすい構造です。店舗ごとに営業時間はバラつきますが、早朝から夕方までの営業が一般的。まとめ買いや部材調達に向いています。","位于始华产业园区的大型工业商品商街，多栋集中，批零兼营。以 B2B 订货与现场自提为主，货车出入便利。各店时间差异较大，但多数为清晨到傍晚营业。适合批量采购与零部件配套。","매장별 상이; 평일 일반적으로 07:00–18:00","Varies by shop; weekdays typically 07:00–18:00","店舗により異なる（平日：通常 07:00–18:00）","各店不同；工作日通常 07:00–18:00","","https://naver.me/xAFIzaOT"
