"인사 모하지(AI검색)  카테고리= 30개 (카테고리 및 해쉬태그) NO","선택 카테고리 (한국어)","영어","일어","중국어 ","베트남어","인도네시아어","태국어","러시아어"
"1","1-코리안바베큐","1-Korean BBQ","1-韓国のバーベキュー","1-韩国烧烤","1-BBQ Hàn Quốc","1-BBQ Korea","1-บาร์บีคิวเกาหลี","1-Корейское барбекю"
"2","2-한식","2-Korean food","2-韓国料理","2-韩国菜","2-Món ăn Hàn Quốc","2-Makanan Korea","2-อาหารเกาหลี","2-Корейская кухня"
"3","3-한정식","3-Course meal","3-韓定食","3-韩定食","3-Hanjeongsik","3-Hanjeongsik","3-ฮันจองชิก","3-Ханджонсик"
"4","4-분식","4-Street Food","4-韓国の軽食","4-韩国小吃","4-Thức ăn đường phố","4-Jajanan Kaki Lima","4-อาหารริมทาง","4-Уличная еда"
"5","5-사찰음식","5-Temple Food","5-査察料理","5-寺庙食物","5-Thức ăn chùa","5-Makanan Kuil","5-อาหารวัด","5-Храмовая еда"
"6","6-채식/비건","6-Vegetarian","6-ベジタリアン/ビーガン","6-素食/纯素食","6-Ăn chay/Thuần chay","6-Vegetarian/Vegan","6-มังสวิรัติ/เจ","6-Вегетарианская/Веганская еда"
"7","7-아시안","7-Asian","7-アジア","7-亚洲人","7-Món ăn Châu Á","7-Makanan Asia","7-อาหารเอเชีย","7-Азиатская кухня"
"8","8-중식","8-Chinese food","8-昼食","8-午餐","8-Món ăn Trung Quốc","8-Makanan Tionghoa","8-อาหารจีน","8-Китайская кухня"
"9","9-전통차","9-Traditional Tea","9-伝統的な車","9-传统茶","9-Trà truyền thống","9-Teh Tradisional","9-ชาแบบดั้งเดิม","9-Традиционный чай"
"10","10-카페","10-Cafe","10-カフェ","10-咖啡馆","10-Quán cà phê","10-Kafe","10-คาเฟ่","10-Кафе"
"11","1-의류","1-Clothing","1-衣類","1-服装 ","1-Quần áo","1-Pakaian","1-เสื้อผ้า","1-Одежда"
"12","2-공예품","2-Crafts","2-工芸品","2-工艺品","2-Đồ thủ công","2-Kerajinan Tangan","2-งานฝีมือ","2-Ремесла"
"13","3-수제도장","3-Handmade Stamps","3-手作り印鑑","3-手工印章 ","3-Con dấu thủ công","3-Stempel Buatan Tangan","3-ตราประทับทำมือ","3-Печати ручной работы"
"14","4-엔틱","4-Antiques","4-アンティーク","4-古董","4-Đồ cổ","4-Barang Antik","4-ของเก่า","4-Антиквариат"
"15","5-필방","5-Calligraphy","5-書道","5-书法","5-Thư pháp","5-Kaligrafi","5-พู่กันจีน","5-Каллиграфия"
"16","6-한복","6-Hanbok ","6-韓服","6-韩服","6-Hanbok","6-Hanbok","6-ฮันบก","6-Ханбок"
"17","7-잡화","7-Essentials","7-雑貨 ","7-杂货 ","7-Đồ tạp hóa","7-Barang Kebutuhan","7-ของใช้เบ็ดเตล็ด","7-Галантерея"
"18","8-표구액자","8-Mounting and Framing","8-作品の装丁と額装","8-装裱与框架","8-Đóng khung","8-Pembingkaian","8-การเข้ากรอบ","8-Оформление в багет"
"19","1-고미술","1-Antique Art","1-骨董品","1-古董艺术","1-Nghệ thuật cổ","1-Seni Antik","1-ศิลปะโบราณ","1-Античное искусство"
"20","2-화랑","2-Gallery","2-ギャラリー","2-画廊","2-Phòng trưng bày","2-Galeri","2-แกลเลอรี่","2-Галерея"
"21","3-표구","3-Calligraphy ","3-書道","3-装裱","3-Thư pháp","3-Kaligrafi","3-พู่กันจีน","3-Каллиграфия"
"22","4-전시관","4-Exhibition Hall","4-展示館","4-展览馆","4-Phòng triển lãm","4-Ruang Pameran","4-ห้องนิทรรศการ","4-Выставочный зал"
"23","5-역사유적지","5-Historical Site","5-歴史的遺跡","5-历史遗址","5-Di tích lịch sử","5-Situs Sejarah","5-สถานที่ทางประวัติศาสตร์","5-Историческое место"
"24","24-막걸리","24-Makgeolli","24-マッコリ","24_米酒","24-Makgeolli","24-Makgeolli","24-มักกอลลี","24-Макколи"
"25","25-전통주","25-Traditional liquor","25-伝統酒","25-传统酒","25-Rượu truyền thống","25-Minuman Keras Tradisional","25-เหล้าแบบดั้งเดิม","25-Традиционный алкоголь"
"26","26-기념품","26-Souvenir ","26-お土産","26-纪念品","26-Quà lưu niệm","26-Suvenir","26-ของที่ระลึก","26-Сувениры"
"27","27-체험","27-experience","27-体験","27-经验","27-Trải nghiệm","27-Pengalaman","27-ประสบการณ์","27-Опыт"
"28","28-사진촬영","28-photo shoot","28-写真撮影","28-照片拍摄","28-Chụp ảnh","28-Pemotretan","28-ถ่ายภาพ","28-Фотосессия"
"29","29-K POP","29-K POP","29-K POP","29-K POP","29-K POP","29-K POP","29-K POP","29-K POP"
"30","30-다과","30-Snacks","30-お茶菓子","30-茶点","30-Đồ ăn nhẹ","30-Camilan","30-ของว่าง","30-Закуски"
