"제주=데이터(공항상점리스트) ShopID ","NO ","ShopName_Kr Default","ShopName_En Default","ShopName_Jp Default","ShopName_Ch Default","ShopName_Vn Default","ShopName_Th Default","ShopName_Ru Default","ShopName_Id Default","BaseCategory_Kr Default","BaseCategory_En Default","BaseCategory_Jp Default","BaseCategory_Ch Default","BaseCategory_Vn Default","BaseCategory_Th Default","BaseCategory_Ru Default","BaseCategory_Id Default","Location_Kr Default","Location_En Default","Location_Jp Default","Location_Ch Default","Location_Vn Default","Location_Th Default","Location_Ru Default","Location_Id Default","OpeningHours_Kr Default","PhoneNumber_Kr Default","MainProduct_Kr Default","MainProduct_En Default","MainProduct_Jp Default","MainProduct_Ch Default","MainProduct_Vn Default","MainProduct_Th Default","MainProduct_Ru Default","MainProduct_Id Default"
"1","제주국제공항=국내선=01","엔제리너스 커피","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:30","064-746-1759","커피, 에이드 등 음료 및 샌드위치","Coffee, ade and other beverages, and sandwiches","コーヒー、エイドなどのドリンク、サンドイッチ","咖啡、果味饮料等饮品及三明治","Cà phê, ade và các loại đồ uống khác, bánh sandwich","กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงแซนด์วิช","Кофе, фруктовые напитки и другие напитки, сэндвичи","Kopi, minuman ade dan minuman lainnya, serta sandwich"
"2","제주국제공항=국내선=02","올리브영","OLIVE YOUNG","OLIVE YOUNG","OLIVE YOUNG","OLIVE YOUNG","OLIVE YOUNG","OLIVE YOUNG","OLIVE YOUNG","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:30 ~ 21:30","064-711-1672","뷰티, 생활용품","Beauty and daily necessities","美容·生活用品","美妆及生活用品","Mỹ phẩm và đồ dùng sinh hoạt","ความงามและของใช้ประจำวัน","Косметика и товары повседневного спроса","Produk kecantikan dan kebutuhan sehari-hari"
"3","제주국제공항=국내선=03","제주렌터카","Jeju Rent-a-Car","済州レンタカー","济州租车","Thuê xe Jeju","รถเช่าเชจู","Прокат авто Jeju","Sewa Mobil Jeju","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:30 ~ 22:00","064-742-3307","제주렌터카","Jeju Rent-a-Car","済州レンタカー","济州租车","Thuê xe Jeju","รถเช่าเชจู","Прокат авто Jeju","Sewa Mobil Jeju"
"4","제주국제공항=국내선=04","카페오가다","Cafe O'gada","Cafe O'gada","Cafe O'gada","Cafe O'gada","Cafe O'gada","Cafe O'gada","Cafe O'gada","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:30","064-749-0124","커피, 차, 스무디 등 음료 및 디저트","Coffee, tea, smoothies and other beverages, and desserts","コーヒー、紅茶、スムージーなどのドリンク、デザート","咖啡、茶、冰沙等饮品及甜点","Cà phê, trà, sinh tố và các loại đồ uống khác, món tráng miệng","กาแฟ ชา สมูทตี้ และเครื่องดื่มอื่น ๆ รวมถึงของหวาน","Кофе, чай, смузи и другие напитки, десерты","Kopi, teh, smoothie dan minuman lainnya, serta hidangan penutup"
"5","제주국제공항=국내선=05","파리바게트(3F)","Paris Baguette (3F)","Paris Baguette (3階)","Paris Baguette (3楼)","Paris Baguette (3F)","Paris Baguette (3F)","Paris Baguette (3F)","Paris Baguette (3F)","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 21:00","064-746-0741","커피, 에이드 등 음료 및 베이커리, 마음샌드","Coffee, ade and other beverages, bakery items, and Maeum Sand","コーヒー、エイドなどのドリンク、ベーカリー、マウムサンド","咖啡、果味饮料等饮品、烘焙食品及Maeum Sand","Cà phê, ade và các loại đồ uống khác, bánh nướng và Maeum Sand","กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ เบเกอรี่ และ Maeum Sand","Кофе, фруктовые напитки и другие напитки, выпечка и Maeum Sand","Kopi, minuman ade dan minuman lainnya, produk bakery, dan Maeum Sand"
"6","제주국제공항=국내선=06","1950에어차이나(중식당)","1950 Air China (Chinese Restaurant)","1950 Air China （中華料理店）","1950 Air China （中餐厅）","1950 Air China (Nhà hàng Trung Hoa)","1950 Air China (ร้านอาหารจีน)","1950 Air China (Китайский ресторан)","1950 Air China (Restoran Tiongkok)","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","08:00 ~ 20:20","064-745-8868","짜장면, 짬뽕, 볶음밥, 탕수육 등","Jajangmyeon, jjamppong, fried rice, tangsuyuk, etc.","ジャージャー麺、チャンポン、チャーハン、酢豚など","炸酱面、辣海鲜汤面、炒饭、糖醋肉等","Mì tương đen, mì hải sản cay, cơm chiên, thịt chua ngọt, v.v.","จาจังมยอน จัมปง ข้าวผัด หมูเปรี้ยวหวาน ฯลฯ","Чачжанмён, чамппон, жареный рис, свинина в кисло-сладком соусе и др.","Jajangmyeon, jjamppong, nasi goreng, tangsuyuk, dll."
"7","제주국제공항=국내선=07","ATM(국민, 농협, 기업, 하나)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","ATM (KB Kookmin, NongHyup, IBK, Hana)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","00:00 ~ 23:59","-","은행 업무(ATM)","Banking services (ATM)","銀行サービス（ATM）","银行业务（ATM）","Dịch vụ ngân hàng (ATM)","บริการธนาคาร (ATM)","Банковские услуги (банкомат)","Layanan perbankan (ATM)"
"8","제주국제공항=국내선=08","ATM(제주, 신한)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","ATM (Jeju Bank, Shinhan)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","00:00 ~ 23:59","-","은행 업무(ATM)","Banking services (ATM)","銀行サービス（ATM）","银行业务（ATM）","Dịch vụ ngân hàng (ATM)","บริการธนาคาร (ATM)","Банковские услуги (банкомат)","Layanan perbankan (ATM)"
"9","제주국제공항=국내선=09","ATM(하나, 국민, 신한, 기업, 농협)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","ATM (Hana, KB Kookmin, Shinhan, IBK, NongHyup)","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","00:00 ~ 23:59","-","은행 업무(ATM)","Banking services (ATM)","銀行サービス（ATM）","银行业务（ATM）","Dịch vụ ngân hàng (ATM)","บริการธนาคาร (ATM)","Банковские услуги (банкомат)","Layanan perbankan (ATM)"
"10","제주국제공항=국내선=10","CU(1F)","CU (1F)","CU (1階)","CU (1楼)","CU (1F)","CU (1F)","CU (1F)","CU (1F)","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","06:30 ~ 22:30","1577-8007","편의품, 식료품 등","Convenience goods, groceries, etc.","日用品、食料品など","便利商品、食品等","Đồ tiện dụng, thực phẩm, v.v.","ของใช้จำเป็น อาหาร ฯลฯ","Товары повседневного спроса, продукты и др.","Barang kebutuhan sehari-hari, bahan makanan, dll."
